Dataset,Before/After,Clean Acc,Untargeted ASR,Targeted ASR
ImageNette,before,91.7264344262295,90.06147540983606,99.97438524590164
CIFAR10,before,11.668669871794872,90.00400641025641,99.98998397435898
CIFAR10,after,74.239,,79.868
