Epoch,Clean Loss,Clean ACC,Targeted Loss,Targeted ASR
0,2.29,13.872,0.006,99.99
1,2.256,15.304,0.007,99.91
2,2.182,18.85,0.013,99.84
3,2.067,20.984,0.019,99.71
4,1.97,24.079,0.031,99.73
5,1.883,28.155,0.059,99.609
6,1.801,31.55,0.063,99.489
7,1.718,35.637,0.104,99.069
8,1.656,37.58,0.146,97.897
9,1.601,39.854,0.146,97.466
10,1.547,42.137,0.187,96.294
11,1.503,44.231,0.302,92.218
12,1.46,46.044,0.303,91.466
13,1.42,47.556,0.337,91.066
14,1.387,49.038,0.319,90.655
15,1.342,50.641,0.452,85.046
16,1.317,51.673,0.464,84.926
17,1.277,53.095,0.391,87.49
18,1.244,54.387,0.486,84.465
19,1.23,55.679,0.243,93.019
20,1.199,56.821,0.285,91.697
21,1.175,57.452,0.302,91.206
22,1.153,58.213,0.251,92.488
23,1.13,59.054,0.187,94.391
24,1.116,59.776,0.17,95.022
25,1.098,60.707,0.225,92.618
26,1.081,61.659,0.171,94.782
27,1.064,61.909,0.157,95.052
28,1.047,62.971,0.145,95.583
29,1.033,63.482,0.126,96.084
30,1.019,63.922,0.14,95.653
31,1.018,63.732,0.129,96.234
32,0.999,64.653,0.129,96.044
33,0.986,65.104,0.117,96.404
34,0.973,65.555,0.157,95.002
35,0.97,65.865,0.157,94.992
36,0.962,66.226,0.127,95.954
37,0.945,66.817,0.12,96.204
38,0.937,67.298,0.142,95.333
39,0.93,67.328,0.18,93.79
40,0.925,67.618,0.154,95.022
41,0.911,68.249,0.168,94.361
42,0.908,68.079,0.149,95.202
43,0.902,68.45,0.21,92.989
44,0.891,68.84,0.21,93.219
45,0.895,68.73,0.183,94.261
46,0.882,69.151,0.199,93.309
47,0.877,69.291,0.229,92.338
48,0.875,69.381,0.223,92.598
49,0.867,69.661,0.176,94.141
50,0.861,69.892,0.24,92.057
51,0.856,69.992,0.169,94.431
52,0.856,70.062,0.182,93.99
53,0.852,70.202,0.241,91.877
54,0.849,70.212,0.188,93.73
55,0.847,70.052,0.251,91.536
56,0.841,70.743,0.203,93.129
57,0.831,71.104,0.265,91.136
58,0.83,70.853,0.263,91.436
59,0.825,71.344,0.216,92.698
60,0.824,71.114,0.226,92.388
61,0.818,71.254,0.246,91.737
62,0.814,71.334,0.208,92.999
63,0.814,71.825,0.292,90.335
64,0.812,71.735,0.233,92.047
65,0.814,71.454,0.285,90.435
66,0.803,71.855,0.35,88.692
67,0.802,71.995,0.349,88.281
68,0.799,72.055,0.325,89.213
69,0.797,72.276,0.382,87.27
70,0.798,72.035,0.301,89.934
71,0.787,72.626,0.315,89.673
72,0.79,72.576,0.374,87.921
73,0.789,72.436,0.46,84.946
74,0.783,72.646,0.441,85.497
75,0.784,73.007,0.425,85.988
76,0.785,72.736,0.395,87.039
77,0.786,72.676,0.477,84.615
78,0.78,72.977,0.472,84.225
79,0.773,73.237,0.542,82.272
80,0.775,73.217,0.532,82.131
81,0.775,73.147,0.458,84.966
82,0.775,73.157,0.618,79.918
83,0.771,73.588,0.384,87.42
84,0.771,73.628,0.384,87.36
85,0.775,73.618,0.624,79.858
86,0.768,73.858,0.743,75.942
87,0.769,73.708,0.549,82.222
88,0.766,73.838,0.534,82.452
89,0.769,73.898,0.689,77.744
90,0.764,73.788,0.467,84.315
91,0.767,73.888,0.588,81.06
92,0.768,73.728,0.779,74.88
93,0.771,73.738,0.612,80.128
94,0.763,74.129,0.718,76.212
95,0.763,73.988,0.647,79.347
96,0.767,73.918,0.716,76.923
97,0.754,74.189,0.573,81.03
98,0.766,74.089,0.665,78.906
99,0.761,74.239,0.628,79.868
