Total Loop,Finetune Restrict Clean Test Acc,Finetune Restrict Poisoned Test Loss,Finetune Restrict Poisoned Test ASR
24,40.343,1.118,54.818
49,36.162,0.19,97.616
74,35.687,0.06,99.535
99,36.172,0.078,99.404
124,35.677,0.066,99.283
149,38.253,0.106,98.354
174,35.465,0.049,99.051
199,35.545,0.079,99.152
224,32.646,0.057,99.606
249,33.364,0.022,99.808
274,37.646,0.285,94.808
299,38.111,0.628,83.97
final,36.717,0.568,89.283
