total loop,FTS loop,restrict set train loss,restrict set train accuracy
1,0,-3.7536368370056152,9.800000488758087
2,0,-3.4945268630981445,9.400000423192978
3,0,-3.7294209003448486,10.200000554323196
4,0,-3.34285831451416,8.000000566244125
5,0,-3.66798734664917,7.600000500679016
6,0,-3.6708033084869385,9.700000286102295
7,0,-3.8075809478759766,11.326529830694199
8,0,-3.905043363571167,11.800000816583633
9,0,-3.4321486949920654,8.100000023841858
10,0,-3.6785593032836914,9.700000286102295
11,0,-3.664773464202881,8.500000089406967
12,0,-3.450650215148926,8.300000429153442
13,0,-3.5389184951782227,7.700000703334808
14,0,-3.7479779720306396,10.306122153997421
15,0,-3.5439257621765137,8.900000154972076
16,0,-3.7161362171173096,11.300000548362732
17,0,-3.724844217300415,7.700000703334808
18,0,-3.564659595489502,10.80000028014183
19,0,-3.675297975540161,10.200000554323196
20,0,-3.2260618209838867,9.800000488758087
21,0,-3.7374813556671143,12.653060257434845
22,0,-3.506479024887085,10.500000417232513
23,0,-3.880157232284546,8.900000154972076
24,0,-3.605370283126831,8.700000494718552
25,0,-3.3452436923980713,9.489795565605164
26,0,-3.5659937858581543,8.500000089406967
27,0,-3.638838768005371,8.400000631809235
28,0,-3.6642045974731445,8.900000154972076
29,0,-3.747525453567505,6.400000303983688
30,0,-3.679607391357422,10.300000756978989
31,0,-3.2178609371185303,9.897958487272263
32,0,-3.25191068649292,8.700000494718552
33,0,-3.5895018577575684,8.500000089406967
34,0,-3.6302361488342285,8.100000023841858
35,0,-3.071765422821045,9.200000762939453
36,0,-3.937268018722534,12.10000067949295
37,0,-3.587198495864868,9.400000423192978
38,0,-3.7567808628082275,12.653060257434845
39,0,-3.3294055461883545,8.300000429153442
40,0,-3.4693925380706787,8.100000023841858
41,0,-3.36124587059021,10.900000482797623
42,0,-3.3199219703674316,11.300000548362732
43,0,-3.238567590713501,8.20000022649765
44,0,-3.658895492553711,12.000000476837158
45,0,-3.2962658405303955,12.346938252449036
46,0,-3.1428067684173584,10.500000417232513
47,0,-3.268496036529541,11.100000888109207
48,0,-3.1600441932678223,8.700000494718552
49,0,-2.939176082611084,12.5
50,0,-3.1498091220855713,13.061223924160004
51,0,-3.2824854850769043,8.900000154972076
52,0,-3.233166456222534,11.500000208616257
53,0,-2.9293501377105713,8.800000697374344
54,0,-3.2239344120025635,7.600000500679016
55,0,-3.1723833084106445,13.199999928474426
56,0,-3.030686855316162,8.469387143850327
57,0,-3.1188995838165283,9.700000286102295
58,0,-3.811068058013916,11.900000274181366
59,0,-3.4385366439819336,8.400000631809235
60,0,-2.9880542755126953,9.100000560283661
61,0,-3.382356643676758,11.000000685453415
62,0,-3.211289882659912,10.300000756978989
63,0,-3.563202142715454,8.469387143850327
64,0,-2.890359401702881,11.20000034570694
65,0,-2.79550838470459,10.600000619888306
66,0,-2.674241065979004,10.500000417232513
67,0,-2.8123152256011963,8.700000494718552
68,0,-2.8248329162597656,9.800000488758087
69,0,-3.519402265548706,9.400000423192978
70,0,-2.7216923236846924,8.775509893894196
71,0,-2.8535478115081787,12.10000067949295
72,0,-2.8001456260681152,10.200000554323196
73,0,-3.440033435821533,9.600000083446503
74,0,-2.751246929168701,9.200000762939453
75,0,-2.7514519691467285,8.367346227169037
76,0,-3.088385820388794,8.20000022649765
77,0,-2.966348886489868,10.500000417232513
78,0,-2.4784860610961914,6.700000166893005
79,0,-2.703331708908081,11.20000034570694
80,0,-3.4825644493103027,11.700000613927841
81,0,-2.852309226989746,8.163265138864517
82,0,-2.4893126487731934,9.700000286102295
83,0,-2.6401424407958984,9.300000220537186
84,0,-2.6281352043151855,10.400000214576721
85,0,-3.7910265922546387,9.000000357627869
86,0,-3.3067984580993652,10.300000756978989
87,0,-2.5933098793029785,11.100000888109207
88,0,-2.7273600101470947,8.979591727256775
89,0,-2.8932900428771973,7.200000435113907
90,0,-2.5524067878723145,8.400000631809235
91,0,-2.727097749710083,10.900000482797623
92,0,-2.635807752609253,11.20000034570694
93,0,-3.040600061416626,10.200000554323196
94,0,-2.560457944869995,7.800000160932541
95,0,-2.7661447525024414,9.387754648923874
96,0,-3.5595407485961914,9.700000286102295
97,0,-2.83945894241333,11.700000613927841
98,0,-2.8277928829193115,10.600000619888306
99,0,-2.7525722980499268,10.200000554323196
100,0,-3.342149257659912,8.163265138864517
101,0,-2.8974485397338867,8.60000029206276
102,0,-3.0763823986053467,10.900000482797623
103,0,-2.8004064559936523,13.199999928474426
104,0,-2.5519602298736572,12.400000542402267
105,0,-2.7506282329559326,9.700000286102295
106,0,-2.881253719329834,11.02040782570839
107,0,-2.818622589111328,9.000000357627869
108,0,-2.5932867527008057,8.900000154972076
109,0,-2.8401882648468018,11.700000613927841
110,0,-2.854779005050659,11.800000816583633
111,0,-2.7347915172576904,12.10000067949295
112,0,-2.7944681644439697,8.700000494718552
113,0,-2.6572346687316895,8.979591727256775
114,0,-2.592179298400879,8.900000154972076
115,0,-2.571810245513916,8.20000022649765
116,0,-2.647280693054199,9.000000357627869
117,0,-2.6566522121429443,9.800000488758087
118,0,-2.9193644523620605,9.200000762939453
119,0,-2.6023614406585693,7.800000160932541
120,0,-2.6103549003601074,8.673468977212906
121,0,-2.655735731124878,11.300000548362732
122,0,-2.874168634414673,9.000000357627869
123,0,-2.557481050491333,9.200000762939453
124,0,-2.7535178661346436,8.100000023841858
125,0,-2.7638542652130127,10.102040320634842
126,0,-2.958134889602661,9.100000560283661
127,0,-3.192944049835205,11.000000685453415
128,0,-3.0432097911834717,9.100000560283661
129,0,-2.5467686653137207,8.800000697374344
130,0,-2.713782548904419,12.10000067949295
131,0,-2.793133020401001,9.693877398967743
132,0,-2.6943159103393555,9.50000062584877
133,0,-3.276777982711792,11.500000208616257
134,0,-2.5492806434631348,7.000000029802322
135,0,-2.982213258743286,11.500000208616257
136,0,-2.501114845275879,9.800000488758087
137,0,-2.513340711593628,10.000000149011612
138,0,-2.712430238723755,10.204081237316132
139,0,-3.2681729793548584,9.90000069141388
140,0,-2.5845401287078857,7.700000703334808
141,0,-2.6805360317230225,11.400000751018524
142,0,-2.609511375427246,11.300000548362732
143,0,-2.893514394760132,9.800000488758087
144,0,-2.666658878326416,10.100000351667404
145,0,-2.4622864723205566,8.775509893894196
146,0,-2.7178804874420166,11.000000685453415
147,0,-2.7143099308013916,12.200000882148743
148,0,-2.7237637042999268,9.700000286102295
149,0,-2.5935254096984863,11.500000208616257
150,0,-2.7875165939331055,11.122448742389679
151,0,-2.5764946937561035,9.90000069141388
152,0,-2.863889694213867,9.600000083446503
153,0,-2.6297714710235596,10.300000756978989
154,0,-2.638333797454834,10.80000028014183
155,0,-2.643258571624756,9.700000286102295
156,0,-2.572619915008545,9.183672815561295
157,0,-2.909149408340454,11.100000888109207
158,0,-3.2987561225891113,10.200000554323196
159,0,-2.6647961139678955,10.100000351667404
160,0,-2.7557876110076904,11.700000613927841
161,0,-2.525867462158203,11.800000816583633
162,0,-2.612252950668335,8.700000494718552
163,0,-2.8044495582580566,10.102040320634842
164,0,-2.728609085083008,9.50000062584877
165,0,-2.592442035675049,11.20000034570694
166,0,-2.7502384185791016,10.500000417232513
167,0,-2.380235433578491,9.300000220537186
168,0,-2.755629062652588,9.50000062584877
169,0,-2.4942243099212646,10.300000756978989
170,0,-2.5625643730163574,11.326529830694199
171,0,-2.508599281311035,10.700000822544098
172,0,-2.6389880180358887,10.700000822544098
