Total Loop,FTS Loop,Restrict Poisoned Train Loss,Restrict Poisoned Train Acc
243,0,-2.071,0.0
244,0,-3.913,3.25
245,0,-3.482,1.15
246,0,-3.433,0.0
247,0,-2.907,0.2
248,0,-1.913,0.15
249,0,-4.396,0.0
250,0,-4.006,0.05
251,0,-3.631,0.5
252,0,-2.647,0.05
253,0,-1.856,0.6
254,0,-1.75,0.6
255,0,-1.45,0.65
256,0,-2.322,0.25
257,0,-4.099,5.05
258,0,-2.821,0.0
259,0,-2.328,0.0
260,0,-2.567,0.05
261,0,-3.411,0.1
262,0,-1.122,94.55
263,0,-2.705,0.0
264,0,-3.07,5.0
265,0,-2.866,0.0
266,0,-2.017,0.15
267,0,-2.711,0.0
268,0,-2.11,0.1
269,0,-1.414,68.05
270,0,-2.975,0.05
271,0,-2.892,0.0
272,0,-1.456,94.2
273,0,-2.413,0.05
274,0,-3.064,0.0
275,0,-4.017,3.6
276,0,-1.543,0.15
277,0,-2.638,0.05
278,0,-1.766,0.95
279,0,-2.713,0.0
280,0,-2.68,0.2
281,0,-4.08,4.25
282,0,-2.742,0.0
283,0,-5.604,5.05
284,0,-3.115,0.0
285,0,-2.197,0.1
286,0,-3.933,1.7
287,0,-2.591,0.0
288,0,-3.813,5.1
289,0,-4.173,5.05
290,0,-1.312,0.35
291,0,-3.188,0.1
292,0,-3.472,4.8
293,0,-2.985,0.05
294,0,-3.473,0.05
295,0,-1.96,0.4
296,0,-1.115,94.45
297,0,-1.419,64.45
298,0,-3.298,0.15
299,0,-2.527,0.0
300,0,-2.567,0.0
