Dataset,Before/After,Clean Acc,Untargeted ASR,Targeted ASR
ImageNette,before,91.26536885245902,90.06147540983606,99.97438524590164
CIFAR10,before,11.748798076923077,90.01402243589743,99.9599358974359
CIFAR10,after,73.798,,58.754
