Epoch,Clean Loss,Clean ACC,Targeted Loss,Targeted ASR
0,2.306,12.039,0.021,99.609
1,2.288,14.964,0.049,99.639
2,2.259,17.298,0.042,99.569
3,2.144,21.004,0.034,99.479
4,2.011,24.299,0.045,99.539
5,1.94,27.574,0.053,99.599
6,1.869,30.008,0.051,99.74
7,1.802,33.103,0.057,99.73
8,1.742,36.078,0.06,99.669
9,1.676,38.862,0.094,99.409
10,1.621,40.755,0.073,99.309
11,1.568,42.608,0.128,98.658
12,1.519,44.932,0.129,98.097
13,1.472,46.534,0.164,97.155
14,1.433,48.127,0.183,96.474
15,1.398,49.529,0.191,96.124
16,1.362,51.162,0.177,95.974
17,1.334,52.514,0.264,93.71
18,1.308,53.546,0.237,94.481
19,1.273,55.168,0.251,92.728
20,1.247,56.35,0.201,94.892
21,1.22,56.961,0.188,94.772
22,1.2,57.702,0.26,90.905
23,1.178,58.574,0.263,90.925
24,1.156,59.275,0.237,91.526
25,1.147,59.385,0.238,91.336
26,1.113,60.657,0.272,90.445
27,1.104,60.948,0.194,93.179
28,1.089,61.138,0.25,90.735
29,1.075,61.799,0.241,91.186
30,1.056,62.46,0.229,91.867
31,1.048,62.56,0.209,92.648
32,1.034,63.171,0.324,87.4
33,1.023,63.552,0.226,91.777
34,1.012,63.572,0.326,87.39
35,1.002,64.103,0.365,85.877
36,0.997,64.443,0.239,91.476
37,0.982,64.814,0.237,91.657
38,0.982,64.994,0.235,91.456
39,0.964,65.405,0.33,87.901
40,0.955,65.966,0.354,86.849
41,0.946,66.426,0.299,89.243
42,0.937,66.897,0.394,85.096
43,0.939,66.657,0.289,89.673
44,0.926,67.137,0.39,85.897
45,0.924,67.228,0.417,84.696
46,0.912,67.728,0.398,85.286
47,0.906,68.039,0.401,85.327
48,0.901,68.339,0.29,89.653
49,0.892,68.319,0.549,79.367
50,0.892,68.49,0.366,86.759
51,0.878,69.091,0.529,80.349
52,0.875,68.99,0.578,77.925
53,0.879,69.321,0.516,80.919
54,0.861,69.972,0.569,79.287
55,0.862,70.242,0.498,81.49
56,0.853,70.272,0.536,80.569
57,0.856,70.553,0.422,84.345
58,0.871,70.072,0.518,81.2
59,0.842,70.984,0.621,77.454
60,0.834,71.414,0.758,72.396
61,0.834,71.324,0.605,78.195
62,0.834,71.174,0.554,80.088
63,0.828,71.494,0.661,75.761
64,0.831,71.625,0.651,76.502
65,0.818,72.095,0.732,73.638
66,0.821,71.915,0.662,76.372
67,0.814,72.015,0.722,74.299
68,0.812,71.965,0.635,77.334
69,0.807,72.486,1.008,65.895
70,0.808,72.336,0.755,73.508
71,0.804,72.706,1.168,60.457
72,0.804,72.626,0.75,74.619
73,0.801,72.927,0.816,72.306
74,0.801,72.776,0.865,71.104
75,0.795,72.666,1.045,65.164
76,0.798,72.987,0.984,67.618
77,0.792,73.227,0.905,69.531
78,0.793,72.857,1.184,62.68
79,0.795,73.247,1.142,62.821
80,0.793,72.967,0.87,70.833
81,0.785,73.337,1.117,63.672
82,0.79,73.297,0.971,68.59
83,0.783,73.287,0.831,72.085
84,0.783,73.407,0.82,72.917
85,0.781,73.448,0.909,69.872
86,0.8,73.257,1.067,66.406
87,0.783,73.688,1.097,64.814
88,0.782,73.468,1.351,58.313
89,0.8,73.427,1.311,60.156
90,0.78,73.858,1.601,53.065
91,0.79,73.187,0.89,70.713
92,0.777,73.768,1.273,60.587
93,0.789,73.578,1.275,60.948
94,0.78,73.798,1.041,67.067
95,0.779,73.798,1.023,67.157
96,0.773,74.048,1.208,62.911
97,0.775,74.149,1.872,48.217
98,0.777,74.099,1.233,62.41
99,0.791,73.798,1.397,58.754
