Total Loop,NTR loop,Orig Poisoned Train Loss,Orig Clean Test Acc,Orig ASR
1,0,0.0393,89.299,100.0
2,0,0.0349,88.459,100.0
3,0,0.1077,87.745,100.0
4,0,0.0875,87.898,99.975
5,0,0.0007,87.618,99.975
6,0,0.0142,87.389,99.975
7,0,0.026,87.414,99.975
8,0,0.0458,87.236,99.975
9,0,0.0261,87.338,99.975
10,0,0.0208,87.465,100.0
11,0,0.0927,87.72,100.0
12,0,0.0736,88.306,100.0
13,0,0.0437,88.892,100.0
14,0,0.0489,88.841,100.0
15,0,0.0059,88.739,100.0
16,0,0.0782,88.713,100.0
17,0,0.0023,88.764,100.0
18,0,0.0476,89.172,100.0
19,0,0.042,89.35,100.0
20,0,0.0086,89.121,100.0
21,0,0.0033,89.07,100.0
22,0,0.0542,89.096,100.0
23,0,0.0149,89.146,100.0
24,0,0.0074,89.274,99.975
25,0,0.0122,89.427,99.975
26,0,0.061,89.452,99.975
27,0,0.0102,89.427,99.975
28,0,0.0149,89.452,99.975
29,0,0.0211,89.427,99.975
30,0,0.0653,89.401,99.975
31,0,0.0081,89.529,99.975
32,0,0.0923,89.427,100.0
33,0,0.044,89.503,100.0
34,0,0.0125,89.478,100.0
35,0,0.0115,89.503,100.0
36,0,0.0342,89.682,100.0
37,0,0.0755,89.656,100.0
38,0,0.0048,89.554,100.0
39,0,0.0925,89.58,100.0
40,0,0.0177,89.554,100.0
41,0,0.0036,89.503,100.0
42,0,0.0637,89.554,100.0
43,0,0.0358,89.554,100.0
44,0,0.1375,89.58,100.0
45,0,0.0332,89.58,100.0
46,0,0.0147,89.707,100.0
47,0,0.0205,89.554,100.0
48,0,0.0604,89.656,100.0
49,0,0.0563,89.86,100.0
50,0,0.0141,90.293,100.0
51,0,0.041,90.318,100.0
52,0,0.0225,90.242,100.0
53,0,0.0545,90.446,100.0
54,0,0.0168,90.548,100.0
55,0,0.0471,90.752,100.0
56,0,0.0666,90.65,100.0
57,0,0.0434,90.828,100.0
58,0,0.0831,90.955,100.0
59,0,0.0541,90.955,100.0
60,0,0.0672,90.904,100.0
61,0,0.0048,90.955,100.0
62,0,0.1246,90.904,100.0
63,0,0.0678,90.981,100.0
64,0,0.0012,90.854,100.0
65,0,0.0095,90.752,100.0
66,0,0.0056,90.701,100.0
67,0,0.0193,90.446,100.0
68,0,0.0161,90.573,100.0
69,0,0.0071,90.42,100.0
70,0,0.0035,90.217,100.0
71,0,0.0166,90.318,100.0
72,0,0.0052,90.242,100.0
73,0,0.0047,90.191,100.0
74,0,0.0113,89.783,100.0
75,0,0.007,89.936,100.0
76,0,0.0248,89.758,100.0
77,0,0.0218,89.529,100.0
78,0,0.0222,89.656,100.0
79,0,0.0081,89.452,100.0
80,0,0.0071,89.452,100.0
81,0,0.0144,89.376,100.0
82,0,0.003,89.554,100.0
83,0,0.0076,89.631,100.0
84,0,0.0047,89.656,100.0
85,0,0.0145,89.529,100.0
86,0,0.0035,89.58,100.0
87,0,0.0091,89.809,100.0
88,0,0.0091,89.758,100.0
89,0,0.0073,89.885,100.0
90,0,0.004,89.936,100.0
91,0,0.0076,89.962,100.0
92,0,0.0077,89.987,100.0
93,0,0.0122,90.089,100.0
94,0,0.0087,90.115,100.0
95,0,0.0039,90.115,100.0
96,0,0.0114,90.242,99.975
97,0,0.0057,90.318,100.0
98,0,0.0034,90.42,100.0
99,0,0.0064,90.446,100.0
100,0,0.0086,90.42,100.0
101,0,0.0023,90.497,99.975
102,0,0.003,90.42,99.975
103,0,0.0153,90.395,99.975
104,0,0.0021,90.42,99.975
105,0,0.0039,90.395,99.975
106,0,0.0233,90.318,99.975
107,0,0.0181,90.268,99.975
108,0,0.0076,90.318,99.949
109,0,0.0034,90.268,99.975
110,0,0.0013,90.14,99.975
111,0,0.0051,90.064,99.975
112,0,0.0034,90.191,99.975
113,0,0.0073,90.038,99.975
114,0,0.004,89.987,99.975
115,0,0.0102,90.191,99.975
116,0,0.0023,90.369,99.975
117,0,0.0064,90.497,99.975
118,0,0.0049,90.701,99.975
119,0,0.0124,90.65,100.0
120,0,0.0023,90.726,99.975
121,0,0.004,90.624,99.975
122,0,0.0067,90.701,99.975
123,0,0.0076,90.777,100.0
124,0,0.0078,90.879,99.975
125,0,0.0039,91.057,99.975
126,0,0.0076,91.057,99.975
127,0,0.0059,91.108,99.975
128,0,0.0277,90.93,99.975
129,0,0.0034,90.955,99.975
130,0,0.0032,90.981,99.975
131,0,0.0025,91.159,99.975
132,0,0.0019,91.21,99.975
133,0,0.0048,91.261,99.975
134,0,0.0019,91.261,99.975
135,0,0.0029,91.389,99.975
136,0,0.002,91.389,99.975
137,0,0.0048,91.541,99.975
138,0,0.0046,91.439,99.975
139,0,0.0067,91.592,99.975
140,0,0.004,91.541,99.975
141,0,0.0038,91.592,99.975
142,0,0.0012,91.439,99.975
143,0,0.0145,91.414,99.975
144,0,0.0097,91.414,99.975
145,0,0.007,91.185,99.975
146,0,0.0034,91.363,99.975
147,0,0.0049,91.312,99.975
148,0,0.0019,91.185,99.975
149,0,0.0339,91.261,99.975
150,0,0.007,91.363,99.975
151,0,0.0106,91.49,99.975
152,0,0.0044,91.338,99.975
153,0,0.005,91.49,99.975
154,0,0.0022,91.516,100.0
155,0,0.0027,91.643,100.0
156,0,0.0027,91.439,99.975
157,0,0.0022,91.389,100.0
158,0,0.004,91.389,100.0
159,0,0.0022,91.389,100.0
160,0,0.0017,91.465,100.0
161,0,0.0037,91.49,100.0
162,0,0.0024,91.516,100.0
163,0,0.004,91.541,100.0
164,0,0.0022,91.49,100.0
165,0,0.0043,91.465,100.0
166,0,0.0124,91.49,100.0
167,0,0.0327,91.389,100.0
168,0,0.0022,91.363,100.0
169,0,0.0037,91.363,100.0
170,0,0.0041,91.389,100.0
171,0,0.0083,91.312,100.0
172,0,0.0065,91.287,100.0
173,0,0.0031,91.21,100.0
174,0,0.0046,91.108,100.0
175,0,0.0037,91.134,100.0
176,0,0.0051,91.159,100.0
177,0,0.0023,91.185,100.0
178,0,0.005,91.159,100.0
179,0,0.0099,91.159,100.0
180,0,0.0023,91.134,100.0
181,0,0.0046,91.185,100.0
182,0,0.0043,91.287,100.0
183,0,0.0081,91.261,100.0
184,0,0.0033,91.414,100.0
185,0,0.0019,91.287,100.0
186,0,0.0111,91.312,100.0
187,0,0.0022,91.363,100.0
188,0,0.0035,91.389,100.0
189,0,0.0087,91.389,100.0
190,0,0.0023,91.363,100.0
191,0,0.0059,91.287,100.0
192,0,0.0067,91.287,100.0
193,0,0.0025,91.338,100.0
194,0,0.0042,91.414,100.0
195,0,0.0026,91.338,100.0
196,0,0.0019,91.363,100.0
197,0,0.0015,91.439,100.0
198,0,0.0036,91.439,100.0
199,0,0.0051,91.49,100.0
200,0,0.0022,91.567,100.0
201,0,0.0022,91.618,100.0
202,0,0.0029,91.592,100.0
203,0,0.002,91.694,100.0
204,0,0.0035,91.592,100.0
205,0,0.0016,91.643,100.0
206,0,0.0024,91.694,100.0
207,0,0.0027,91.618,100.0
208,0,0.0025,91.567,100.0
209,0,0.002,91.618,100.0
210,0,0.0038,91.49,100.0
211,0,0.0032,91.465,100.0
212,0,0.0011,91.465,100.0
213,0,0.0023,91.516,100.0
214,0,0.0041,91.541,100.0
215,0,0.0017,91.618,100.0
216,0,0.0025,91.669,100.0
217,0,0.0022,91.643,100.0
218,0,0.0023,91.669,100.0
219,0,0.0042,91.771,100.0
220,0,0.0019,91.669,100.0
221,0,0.0047,91.669,100.0
222,0,0.0038,91.669,100.0
223,0,0.0074,91.618,100.0
224,0,0.0022,91.592,100.0
225,0,0.003,91.72,100.0
226,0,0.0037,91.694,100.0
227,0,0.0019,91.694,100.0
228,0,0.0016,91.567,100.0
229,0,0.0015,91.567,100.0
230,0,0.0045,91.618,100.0
231,0,0.0032,91.72,100.0
232,0,0.0038,91.745,100.0
233,0,0.0031,91.694,100.0
234,0,0.0083,91.745,100.0
235,0,0.0044,91.771,100.0
236,0,0.0088,91.745,100.0
237,0,0.002,91.771,100.0
238,0,0.0024,91.822,100.0
239,0,0.0074,91.822,100.0
240,0,0.0015,91.796,100.0
241,0,0.0029,91.898,100.0
242,0,0.0024,91.873,100.0
243,0,0.0018,91.771,100.0
244,0,0.0031,91.72,100.0
245,0,0.0029,91.694,100.0
246,0,0.0025,91.694,100.0
247,0,0.0054,91.669,100.0
248,0,0.0021,91.694,100.0
249,0,0.0046,91.745,100.0
250,0,0.0037,91.72,100.0
251,0,0.0026,91.796,100.0
252,0,0.0024,91.643,100.0
253,0,0.0062,91.669,100.0
254,0,0.0073,91.669,100.0
255,0,0.0037,91.694,100.0
256,0,0.0223,91.643,100.0
257,0,0.0042,91.567,100.0
258,0,0.0043,91.338,100.0
259,0,0.002,91.236,100.0
260,0,0.0045,91.185,100.0
261,0,0.0037,91.261,100.0
262,0,0.0047,91.159,100.0
263,0,0.0054,90.981,100.0
264,0,0.0014,91.032,100.0
265,0,0.0044,91.006,100.0
266,0,0.0015,91.159,100.0
267,0,0.005,91.032,100.0
268,0,0.0018,91.083,100.0
269,0,0.0029,91.261,100.0
270,0,0.0064,91.338,100.0
271,0,0.0047,91.541,100.0
272,0,0.0022,91.389,100.0
273,0,0.0068,91.49,100.0
274,0,0.0023,91.694,99.975
275,0,0.0029,91.618,99.975
276,0,0.0048,91.618,99.975
277,0,0.0026,91.516,99.975
278,0,0.003,91.592,99.975
279,0,0.0048,91.618,99.975
280,0,0.0037,91.643,99.975
281,0,0.0026,91.669,99.975
282,0,0.0015,91.541,99.975
283,0,0.0018,91.516,99.949
284,0,0.0027,91.541,99.949
