Total Loop,NTR loop,Orig Poisoned Train Loss,Orig Clean Test Acc,Orig ASR
285,0,0.0047,91.465,99.949
286,0,0.0034,91.516,99.949
287,0,0.0024,91.338,99.949
288,0,0.0017,91.541,99.949
289,0,0.0023,91.567,99.975
290,0,0.0062,91.49,99.949
291,0,0.0032,91.439,99.975
292,0,0.0027,91.516,99.975
293,0,0.0029,91.592,99.975
294,0,0.0032,91.592,99.975
295,0,0.0024,91.516,99.975
296,0,0.0034,91.439,99.975
297,0,0.0046,91.465,99.975
298,0,0.006,91.516,99.975
299,0,0.002,91.541,99.975
300,0,0.0038,91.541,99.975
