total loop,NTR loop,original train loss
1,0,0.0013725835597142577
2,0,0.0014261160977184772
3,0,0.0007421248592436314
4,0,0.0020056103821843863
5,0,0.003519999561831355
6,0,0.005708572454750538
7,0,0.0024324769619852304
8,0,0.007534489035606384
9,0,0.003127457806840539
10,0,0.0020869169384241104
11,0,0.0024547982029616833
12,0,0.00289179221726954
13,0,0.0029365902300924063
14,0,0.007448562886565924
15,0,0.005545726045966148
16,0,0.020992908626794815
17,0,0.002232375554740429
18,0,0.0031958080362528563
19,0,0.009001621976494789
20,0,0.008570871315896511
21,0,0.005161540117114782
22,0,0.0010364048648625612
23,0,0.023585401475429535
24,0,0.013883142732083797
25,0,0.0018698289059102535
26,0,0.030521541833877563
27,0,0.0017589983763173223
28,0,0.0035308420192450285
29,0,0.0030854044016450644
30,0,0.00029562957934103906
31,0,0.0019717507530003786
32,0,0.012998032383620739
33,0,0.004287747200578451
34,0,0.02398228645324707
35,0,0.002862300258129835
36,0,0.0032951419707387686
37,0,0.010508413426578045
38,0,0.015603982843458652
39,0,0.0014252762775868177
40,0,0.002981716301292181
41,0,0.002069954527541995
42,0,0.0031632883474230766
43,0,0.008502263575792313
44,0,0.009167716838419437
45,0,0.011211086064577103
46,0,0.007389173377305269
47,0,0.0006720218225382268
48,0,0.016721313819289207
49,0,0.0021630788687616587
50,0,0.0041831908747553825
51,0,0.005679495632648468
52,0,0.0007439859909936786
53,0,0.0010520012583583593
54,0,0.007867707870900631
55,0,0.008562847040593624
56,0,0.005273841787129641
57,0,0.0017362775979563594
58,0,0.006204935256391764
59,0,0.01788807474076748
60,0,0.0009073176770471036
61,0,0.016837147995829582
62,0,0.006331352982670069
63,0,0.0074685788713395596
64,0,0.05208076536655426
65,0,0.006794998422265053
66,0,0.0012862655567005277
67,0,0.0026956729125231504
68,0,0.0006260749651119113
69,0,0.0006011276273056865
70,0,0.030020739883184433
71,0,0.01765495166182518
72,0,0.0047248536720871925
73,0,0.01598295383155346
74,0,0.014960646629333496
75,0,0.043084766715765
76,0,0.01124227698892355
77,0,0.0017800646601244807
78,0,0.0013256467645987868
79,0,0.0009018538403324783
80,0,0.019853007048368454
81,0,0.004290536046028137
82,0,0.002595724770799279
83,0,0.001837453804910183
84,0,0.003729426534846425
85,0,0.01647368259727955
86,0,0.0058260150253772736
87,0,0.007930361665785313
88,0,0.0033092638477683067
89,0,0.0020868079736828804
90,0,0.005668281111866236
91,0,0.0036306269466876984
92,0,0.06892789155244827
93,0,0.018360700458288193
94,0,0.02157396636903286
95,0,0.0023213389795273542
96,0,0.0020234698895365
97,0,0.005134678911417723
98,0,0.011592244729399681
99,0,0.004720658995211124
100,0,0.0012511064996942878
101,0,0.013293491676449776
102,0,0.0024997591972351074
103,0,0.0020933463238179684
104,0,0.0010562259703874588
105,0,0.04572949558496475
106,0,0.006730767898261547
107,0,0.0016909129917621613
108,0,0.0010194260394200683
109,0,0.009096127934753895
110,0,0.005524412728846073
111,0,0.0018085833871737123
112,0,0.0075200702995061874
113,0,0.0035499841906130314
114,0,0.010051279328763485
115,0,0.001076685031875968
116,0,0.012028198689222336
117,0,0.0010784328915178776
118,0,0.0175273809581995
119,0,0.03231749311089516
120,0,0.009877688251435757
121,0,0.0009533127886243165
