total loop,FTS loop,restrict set train loss,restrict set train accuracy
1,0,-1.0854607820510864,9.800000488758087
2,0,-1.3621625900268555,9.100000560283661
3,0,-1.0999928712844849,10.000000149011612
4,0,-1.4101446866989136,7.700000703334808
5,0,-1.3047003746032715,8.700000494718552
6,0,-1.232802152633667,10.200000554323196
7,0,-1.1650766134262085,10.71428507566452
8,0,-1.329618215560913,11.700000613927841
9,0,-1.4647389650344849,7.800000160932541
10,0,-1.129518985748291,10.900000482797623
11,0,-1.2087806463241577,10.300000756978989
12,0,-1.1170514822006226,7.800000160932541
13,0,-1.198896050453186,8.60000029206276
14,0,-1.4213320016860962,11.224489659070969
15,0,-1.0490000247955322,9.000000357627869
16,0,-1.4512826204299927,11.000000685453415
17,0,-1.3494030237197876,9.200000762939453
18,0,-1.1311850547790527,11.000000685453415
19,0,-1.3124951124191284,9.000000357627869
20,0,-0.773833692073822,8.500000089406967
21,0,-1.2434788942337036,11.428570747375488
22,0,-1.1097584962844849,10.80000028014183
23,0,-1.4400126934051514,9.700000286102295
24,0,-0.9499927163124084,10.600000619888306
25,0,-0.8376802802085876,8.877550810575485
26,0,-1.1111050844192505,7.200000435113907
27,0,-1.2105385065078735,8.900000154972076
28,0,-1.004367470741272,9.600000083446503
29,0,-1.3467282056808472,7.600000500679016
30,0,-1.0089833736419678,9.600000083446503
31,0,-0.7951184511184692,10.61224415898323
32,0,-0.773830235004425,7.700000703334808
33,0,-1.0064446926116943,8.500000089406967
34,0,-0.7707676291465759,9.700000286102295
35,0,-0.7126790881156921,11.100000888109207
36,0,-1.2695848941802979,12.600000202655792
37,0,-1.0679394006729126,8.000000566244125
38,0,-0.9888327717781067,11.530611664056778
39,0,-0.7276384830474854,9.800000488758087
40,0,-0.7475905418395996,7.500000298023224
41,0,-0.5400295853614807,10.500000417232513
42,0,-0.5618084669113159,9.90000069141388
43,0,-0.7311616539955139,8.60000029206276
44,0,-1.053303599357605,10.300000756978989
45,0,-0.6756013035774231,11.224489659070969
46,0,-0.6523897647857666,10.700000822544098
47,0,-0.7334468364715576,11.000000685453415
48,0,-0.5238060355186462,8.700000494718552
49,0,-0.37836018204689026,11.900000274181366
50,0,-0.5733931660652161,12.346938252449036
51,0,-0.6241368055343628,9.000000357627869
52,0,-0.6373706459999084,10.700000822544098
53,0,-0.5645821690559387,10.600000619888306
54,0,-0.5718821287155151,9.300000220537186
55,0,-0.514596164226532,12.10000067949295
56,0,-0.46284836530685425,12.653060257434845
57,0,-0.4406551122665405,12.800000607967377
58,0,-1.1976349353790283,10.000000149011612
59,0,-0.5415666103363037,9.400000423192978
60,0,-0.5574003458023071,9.100000560283661
