total loop,NTR loop,original train loss
1,0,0.04411334544420242
2,0,0.03728777542710304
3,0,0.09390144795179367
4,0,0.065207339823246
5,0,0.0016065959352999926
6,0,0.011199318803846836
7,0,0.02493887208402157
8,0,0.051875341683626175
9,0,0.028112037107348442
10,0,0.016638588160276413
11,0,0.08675695955753326
12,0,0.07887453585863113
13,0,0.0562845915555954
14,0,0.051711417734622955
15,0,0.022339122369885445
16,0,0.12186284363269806
17,0,0.007061336189508438
18,0,0.032935045659542084
19,0,0.062448665499687195
20,0,0.025061773136258125
21,0,0.010848712176084518
22,0,0.049764566123485565
23,0,0.012476799078285694
24,0,0.00982967671006918
25,0,0.028913285583257675
26,0,0.08403951674699783
27,0,0.014982976950705051
28,0,0.03169800713658333
29,0,0.033590253442525864
30,0,0.09288648515939713
31,0,0.013703896664083004
32,0,0.09154252707958221
33,0,0.06452668458223343
34,0,0.0040390631183981895
35,0,0.0067332047037780285
36,0,0.03454191982746124
37,0,0.05984876677393913
38,0,0.007235501427203417
39,0,0.13292557001113892
40,0,0.031163660809397697
41,0,0.005697028245776892
42,0,0.0565766915678978
43,0,0.08255413174629211
44,0,0.17720703780651093
45,0,0.08815990388393402
46,0,0.01278434693813324
47,0,0.015139023773372173
48,0,0.06546726822853088
49,0,0.02630767598748207
50,0,0.0324988067150116
51,0,0.016470197588205338
52,0,0.028586460277438164
53,0,0.05807153880596161
54,0,0.027816804125905037
55,0,0.08804434537887573
56,0,0.024448897689580917
57,0,0.052198827266693115
58,0,0.11060287803411484
59,0,0.033184636384248734
60,0,0.04654117673635483
61,0,0.021654177457094193
62,0,0.10720384865999222
63,0,0.05977655574679375
64,0,0.0011590613285079598
65,0,0.0035884773824363947
66,0,0.010545974597334862
67,0,0.014161858707666397
68,0,0.010739398188889027
69,0,0.009079573675990105
70,0,0.008520267903804779
71,0,0.007357259746640921
72,0,0.008225520141422749
73,0,0.02194591984152794
74,0,0.007816166616976261
75,0,0.016093676909804344
76,0,0.003051524516195059
77,0,0.00605881679803133
78,0,0.004791525192558765
79,0,0.01884898729622364
80,0,0.010836755856871605
81,0,0.02957812324166298
82,0,0.02140573225915432
83,0,0.006878953892737627
84,0,0.011342257261276245
85,0,0.007479739375412464
86,0,0.0056885224767029285
87,0,0.06124359741806984
88,0,0.01782812550663948
89,0,0.004164057318121195
90,0,0.02172183059155941
91,0,0.004112875554710627
92,0,0.0028741343412548304
93,0,0.008850771933794022
94,0,0.015630826354026794
95,0,0.018474388867616653
96,0,0.00446821516379714
97,0,0.005024428013712168
98,0,0.008957733400166035
99,0,0.0074593303725123405
100,0,0.010588589124381542
101,0,0.016188185662031174
102,0,0.006037707906216383
103,0,0.008322865702211857
104,0,0.028481416404247284
105,0,0.0033000933472067118
106,0,0.008556695654988289
107,0,0.011767825111746788
108,0,0.007834131829440594
109,0,0.03630229830741882
110,0,0.005300022196024656
111,0,0.03046168014407158
112,0,0.004619407467544079
113,0,0.012383854947984219
114,0,0.021037632599473
115,0,0.028531501069664955
116,0,0.010534385219216347
117,0,0.013859017752110958
118,0,0.041075389832258224
119,0,0.008770415559411049
120,0,0.008498421870172024
121,0,0.004026407841593027
122,0,0.0046742865815758705
123,0,0.00835726410150528
124,0,0.01715973950922489
125,0,0.028778251260519028
126,0,0.0072593484073877335
127,0,0.008915134705603123
128,0,0.0027624370995908976
129,0,0.0018736463971436024
130,0,0.013264819048345089
131,0,0.01150658167898655
132,0,0.022441145032644272
133,0,0.006883162073791027
134,0,0.0036911109928041697
135,0,0.001456040539778769
136,0,0.011427931487560272
137,0,0.012910016812384129
138,0,0.01825661025941372
139,0,0.0063551682978868484
140,0,0.0038581236731261015
141,0,0.010019451379776001
142,0,0.009777611121535301
143,0,0.00997695978730917
144,0,0.008631500415503979
145,0,0.006580480840057135
146,0,0.0025255584623664618
147,0,0.007669105660170317
148,0,0.0040459115989506245
149,0,0.008813533931970596
150,0,0.009656022302806377
151,0,0.003105746116489172
152,0,0.008422769606113434
153,0,0.005429105367511511
154,0,0.006000758148729801
155,0,0.010613299906253815
156,0,0.006933157332241535
157,0,0.0025632502511143684
158,0,0.004076856188476086
159,0,0.0023490218445658684
160,0,0.0018299245275557041
161,0,0.006905180402100086
162,0,0.0025007391814142466
163,0,0.003486297093331814
164,0,0.0023921318352222443
165,0,0.0034835508558899164
166,0,0.0025342481676489115
167,0,0.005925424862653017
168,0,0.020516537129878998
169,0,0.00504249706864357
170,0,0.014856302179396152
171,0,0.007635459303855896
172,0,0.0064757694490253925
173,0,0.004203662741929293
174,0,0.002725037280470133
175,0,0.007992332801222801
176,0,0.0045011164620518684
177,0,0.007969467900693417
178,0,0.005597145762294531
179,0,0.00267286435700953
180,0,0.004792231135070324
181,0,0.003015028079971671
182,0,0.00582954240962863
183,0,0.009610665030777454
184,0,0.0037304668221622705
185,0,0.002855939557775855
186,0,0.007980134338140488
187,0,0.0040426673367619514
188,0,0.009926293976604939
189,0,0.007805852685123682
190,0,0.008193028159439564
191,0,0.004707694984972477
192,0,0.0021041687577962875
193,0,0.007513941265642643
194,0,0.0031725913286209106
195,0,0.0034555045422166586
196,0,0.0020577197428792715
197,0,0.0025112696457654238
198,0,0.0034346068277955055
199,0,0.006287310738116503
200,0,0.00465140026062727
201,0,0.0048226783983409405
202,0,0.004085168242454529
203,0,0.004763493314385414
204,0,0.0029025499243289232
205,0,0.001347889075987041
206,0,0.0016799340955913067
207,0,0.001848218496888876
208,0,0.0023331164848059416
209,0,0.0021248599514365196
210,0,0.0023837918415665627
211,0,0.001243117731064558
212,0,0.0021620469633489847
213,0,0.0013925705570727587
214,0,0.0034509925171732903
215,0,0.0011371473083272576
216,0,0.0023045341949909925
217,0,0.003164983820170164
218,0,0.003313052700832486
219,0,0.0021355822682380676
220,0,0.002960953628644347
221,0,0.0025782394222915173
222,0,0.00259727006778121
223,0,0.002481787698343396
224,0,0.0015475123655050993
225,0,0.0017789383418858051
226,0,0.0024685512762516737
227,0,0.002889760537073016
228,0,0.004209884442389011
229,0,0.0027370278257876635
230,0,0.003057164140045643
231,0,0.005096413195133209
232,0,0.0020572736393660307
233,0,0.0039064884185791016
234,0,0.0029227661434561014
235,0,0.003625696524977684
236,0,0.004327320959419012
237,0,0.0039153085090219975
238,0,0.002316762926056981
239,0,0.0060584270395338535
240,0,0.005250919610261917
241,0,0.0033061516005545855
242,0,0.0019183277618139982
243,0,0.0022225077264010906
244,0,0.004075883887708187
245,0,0.004586237482726574
246,0,0.001637778477743268
247,0,0.003160082967951894
248,0,0.003569330321624875
249,0,0.0013082375517114997
250,0,0.0020898492075502872
251,0,0.00264869281090796
252,0,0.0030601355247199535
253,0,0.002964302897453308
254,0,0.002358649857342243
255,0,0.002466062782332301
256,0,0.029998186975717545
257,0,0.0025871393736451864
258,0,0.003186903428286314
259,0,0.003934709820896387
260,0,0.002385856583714485
261,0,0.00535983219742775
262,0,0.022137731313705444
263,0,0.006149451248347759
264,0,0.007675459608435631
265,0,0.007503660395741463
266,0,0.004498390946537256
267,0,0.003431640798225999
268,0,0.0032721005845814943
269,0,0.0018639100017026067
270,0,0.003937427420169115
271,0,0.002848648000508547
272,0,0.0054225376807153225
273,0,0.0013887120876461267
274,0,0.004734875168651342
275,0,0.00265310937538743
276,0,0.0034665593411773443
277,0,0.008836831897497177
278,0,0.00467205373570323
279,0,0.004079110454767942
280,0,0.0019017062149941921
281,0,0.006832411978393793
282,0,0.002763311844319105
283,0,0.004193234257400036
284,0,0.0022868297528475523
285,0,0.0034373835660517216
286,0,0.004192833323031664
287,0,0.003807407571002841
288,0,0.005140257533639669
289,0,0.0033814890775829554
290,0,0.005913210101425648
291,0,0.003841522615402937
292,0,0.006470474414527416
293,0,0.0022059385664761066
294,0,0.005999192129820585
295,0,0.004485279321670532
296,0,0.004715086426585913
297,0,0.005470580421388149
298,0,0.006384423468261957
299,0,0.0047584399580955505
300,0,0.003093652194365859
301,0,0.00814780779182911
302,0,0.0029937727376818657
303,0,0.005192624870687723
304,0,0.004190072882920504
305,0,0.0034505771473050117
306,0,0.0031891551334410906
307,0,0.005853020120412111
308,0,0.002773306565359235
309,0,0.0019373995019122958
310,0,0.005454584956169128
311,0,0.007045108359307051
312,0,0.004129649605602026
313,0,0.004011891316622496
314,0,0.0019352425588294864
315,0,0.001978940097615123
316,0,0.00202783546410501
317,0,0.001814855495467782
318,0,0.0036985413171350956
319,0,0.003237454453483224
320,0,0.041801568120718
321,0,0.0047738743014633656
322,0,0.002920457860454917
323,0,0.0028879616875201464
324,0,0.0049241818487644196
325,0,0.005421904847025871
326,0,0.0038382692728191614
327,0,0.004716145806014538
328,0,0.007029971107840538
329,0,0.010138404555618763
330,0,0.022363727912306786
331,0,0.009127581492066383
332,0,0.005721045192331076
333,0,0.006198001094162464
334,0,0.006008078344166279
335,0,0.00404502684250474
336,0,0.004112310707569122
337,0,0.007407179102301598
338,0,0.0017607985064387321
339,0,0.0060299173928797245
340,0,0.002494511194527149
341,0,0.004999036435037851
342,0,0.005839102901518345
343,0,0.0031440858729183674
344,0,0.0044168164022266865
345,0,0.005987371783703566
346,0,0.002088321140035987
347,0,0.003921771887689829
348,0,0.002265903865918517
349,0,0.0030204388312995434
350,0,0.0040436298586428165
351,0,0.0038878500927239656
352,0,0.003159240121021867
353,0,0.0009836781537160277
354,0,0.0020916631910949945
355,0,0.022503536194562912
356,0,0.0050597889348864555
357,0,0.0026959991082549095
358,0,0.0017475140048190951
359,0,0.001295973313972354
360,0,0.0028812570963054895
361,0,0.007008600048720837
362,0,0.0029947946313768625
363,0,0.002059366088360548
364,0,0.002703949809074402
365,0,0.0034603122621774673
366,0,0.004000862129032612
367,0,0.0028857975266873837
368,0,0.0027316610794514418
369,0,0.0021772030740976334
370,0,0.004288360010832548
371,0,0.0008759979391470551
372,0,0.00937553122639656
373,0,0.0011933711357414722
374,0,0.0024051894433796406
375,0,0.002057038014754653
376,0,0.009067405946552753
377,0,0.0030310959555208683
378,0,0.0011394174071028829
379,0,0.0018084730254486203
380,0,0.0030928091146051884
381,0,0.0042882985435426235
382,0,0.0018425971502438188
383,0,0.0030601785983890295
384,0,0.0006338740349747241
385,0,0.0023400646168738604
386,0,0.0035308650694787502
387,0,0.005061307456344366
388,0,0.0018985134083777666
389,0,0.0037103856448084116
390,0,0.0025649613235145807
391,0,0.0019745465833693743
