total loop,FTS loop,restrict set train loss,restrict set train accuracy
1,0,-2.9357099819183348,4.300000086426735
2,0,-3.807048954963684,0.0
3,0,-2.6901493501663207,2.0000000298023224
4,0,-3.7267933320999145,0.0
5,0,-2.546655702590942,3.90000007301569
6,0,-1.7107946467399597,42.90000069141388
7,0,-2.3868359088897706,23.000000283122063
8,0,-5.0641935920715335,0.0
9,0,-2.7402707147598266,2.0000000298023224
10,0,-2.9799503898620605,1.8000000268220901
11,0,-3.0243994426727294,1.3000000193715096
12,0,-2.8111624908447266,1.2000000178813934
13,0,-2.157818875312805,11.000000230967999
14,0,-1.7126779103279113,38.000000327825546
15,0,-3.0737666988372805,2.4000000432133675
16,0,-4.035472407341003,0.0
17,0,-2.6028119802474974,2.8000000417232513
18,0,-3.362625479698181,0.0
19,0,-3.6534228420257566,0.0
20,0,-2.5404709005355834,6.300000131130218
21,0,-1.1569261050224304,49.000000953674316
22,0,-4.0657182741165165,0.10000000149011613
23,0,-2.4083435583114623,7.3000001311302185
24,0,-2.8814103746414186,0.0
25,0,-1.9588155508041383,22.900000363588333
26,0,-2.585357623100281,0.0
27,0,-2.635613970756531,0.10000000149011613
28,0,-1.5113761258125304,39.60000067949295
29,0,-3.4976809072494506,0.0
30,0,-3.184956979751587,0.0
31,0,-2.4694593143463135,1.3000000193715096
32,0,-3.2979691314697264,0.0
33,0,-2.106503520011902,3.800000064074993
34,0,-1.7015048909187316,41.7000008225441
35,0,-2.4403751564025877,0.20000000298023227
36,0,-1.2056616067886352,60.300001680850976
37,0,-3.281562023162842,0.0
38,0,-2.164573926925659,0.6000000089406967
39,0,-2.1600176000595095,0.9000000134110451
40,0,-1.4663080549240113,40.00000059604645
41,0,-4.830594701766968,0.0
42,0,-2.0780643224716187,0.10000000149011613
43,0,-2.605874652862549,0.30000000447034836
44,0,-4.365168409347534,0.0
45,0,-1.2150226759910583,38.10000059008598
46,0,-3.548557233810425,0.0
47,0,-4.379945440292358,0.0
48,0,-1.3105680799484254,90.70000147819519
49,0,-1.1276125645637511,93.30000102519989
50,0,-1.3481642746925353,74.1000007390976
51,0,-2.414681468009949,0.10000000149011613
52,0,-2.354479594230652,0.0
53,0,-3.6155757904052734,0.0
54,0,-4.268874835968018,0.0
55,0,-2.729195713996887,0.0
56,0,-3.2646833276748657,0.0
57,0,-1.4120085263252258,85.30000162124634
58,0,-2.824411792755127,0.0
59,0,-2.9633753299713135,0.0
60,0,-3.360433144569397,0.0
61,0,-4.713739385604859,0.0
62,0,-1.4269369840621948,86.70000147819519
63,0,-3.3469977378845215,0.0
64,0,-3.9080848598480227,0.0
65,0,-3.113613052368164,0.0
66,0,-1.5310698008537293,86.9000015258789
67,0,-2.208669967651367,0.5000000074505806
68,0,-3.5261968612670898,0.0
69,0,-5.021526412963867,0.0
70,0,-3.0837517738342286,0.0
71,0,-1.970549771785736,5.800000101327896
72,0,-3.421214246749878,0.0
73,0,-2.9318520164489748,0.0
74,0,-3.71091835975647,0.0
75,0,-3.1756417465209963,0.0
76,0,-3.298688449859619,0.0
77,0,-2.851121745109558,0.0
78,0,-2.7530220079422,0.0
79,0,-2.5668396186828613,0.0
80,0,-3.441309342384338,0.0
81,0,-3.534087657928467,0.0
82,0,-2.9780024766921995,0.0
83,0,-2.8492585039138794,0.40000000596046453
84,0,-2.4236223125457763,0.0
85,0,-3.9300615787506104,0.0
86,0,-3.809131407737732,0.0
87,0,-2.2313880157470702,0.20000000298023227
88,0,-2.1013570833206177,0.10000000149011613
89,0,-3.0136876630783083,0.0
90,0,-1.9202604961395264,4.000000067055225
91,0,-3.5589105701446533,0.0
92,0,-2.6133870935440062,0.0
93,0,-4.372460041046143,0.0
94,0,-3.3508208560943604,0.0
95,0,-2.9161638116836546,0.0
96,0,-2.46567325592041,0.0
97,0,-2.9838338804244997,0.0
98,0,-2.741447129249573,0.0
99,0,-2.8456085872650148,0.0
100,0,-4.202460384368896,0.0
101,0,-2.635873112678528,0.0
102,0,-3.4419764566421507,0.0
103,0,-1.927102038860321,7.900000147521497
104,0,-2.3527227449417114,76.40000116825104
105,0,-2.654458990097046,0.0
106,0,-3.367143974304199,0.0
107,0,-1.9001724457740783,5.900000132620335
108,0,-3.194007730484009,0.0
109,0,-3.463825240135193,0.0
110,0,-3.0984636831283567,0.0
111,0,-1.693522696495056,85.90000036358833
112,0,-2.7271500921249388,0.0
113,0,-2.3217663621902465,0.0
114,0,-2.151110692024231,0.10000000149011613
115,0,-2.5989162635803225,8.000000156462193
116,0,-2.1382203578948973,0.20000000298023227
117,0,-2.781470546722412,0.0
118,0,-3.0034824323654177,0.0
119,0,-2.0253104257583616,10.800000242888927
120,0,-2.8033054304122924,0.10000000149011613
121,0,-2.88191264629364,0.0
122,0,-4.043998227119446,0.0
123,0,-3.270019268989563,0.0
124,0,-2.4813113737106325,0.30000000447034836
125,0,-2.6007907438278197,0.0
126,0,-3.4417129373550415,0.0
127,0,-2.49583655834198,0.0
128,0,-2.317877860069275,0.0
129,0,-2.5790684032440185,0.0
130,0,-1.7245305609703063,40.80000054836273
131,0,-3.831455359458923,0.0
132,0,-3.220940656661987,0.0
133,0,-1.4670907330513,84.90000224113464
134,0,-3.3498805475234987,0.0
135,0,-2.9319398975372315,0.0
136,0,-1.9886978840827942,58.100001126527786
137,0,-2.765789203643799,0.0
138,0,-3.3415383815765383,0.0
139,0,-1.8195111799240111,2.200000010430813
140,0,-2.259687132835388,0.0
141,0,-1.5836420154571533,99.20000004768372
142,0,-1.9701719570159912,8.200000129640102
143,0,-2.425612668991089,0.0
144,0,-1.6317080688476562,89.60000032186508
145,0,-2.8777288484573362,0.0
146,0,-1.163372528553009,95.3999992609024
147,0,-2.9133861446380616,0.0
148,0,-2.3573321437835695,0.0
149,0,-2.854417295455933,0.0
150,0,-2.2432061529159544,0.6000000089406967
151,0,-2.754301137924194,0.0
152,0,-2.487923240661621,0.0
153,0,-1.7881991028785706,32.400000274181366
154,0,-2.3771603155136107,0.0
155,0,-2.451054172515869,0.0
156,0,-2.599419503211975,5.000000074505806
157,0,-2.9062350511550905,0.0
158,0,-2.3620901012420656,0.0
159,0,-2.6816626310348513,0.0
160,0,-2.5523728704452515,0.0
161,0,-2.8635432434082033,0.0
162,0,-2.38322057723999,0.0
163,0,-3.5305458021163942,0.0
164,0,-3.071084251403809,0.0
165,0,-2.3287704610824584,0.0
166,0,-2.760603699684143,0.0
167,0,-2.565081419944763,0.0
168,0,-1.6769207859039306,86.60000216960907
169,0,-2.9000943231582643,0.0
170,0,-2.0879830837249758,0.30000000447034836
171,0,-2.498809452056885,0.0
172,0,-2.4248288917541503,0.0
173,0,-3.226780095100403,0.0
174,0,-2.4741815662384035,0.0
175,0,-2.682873830795288,0.0
176,0,-2.4116151237487795,0.0
177,0,-2.8666631174087525,0.10000000149011613
178,0,-2.327089338302612,1.3000000193715096
179,0,-2.346161618232727,0.0
180,0,-2.5634701919555662,0.0
181,0,-2.400486912727356,0.0
182,0,-1.7477667665481567,95.50000023841858
183,0,-1.85407555103302,86.70000219345093
184,0,-2.122424921989441,0.0
185,0,-2.6546324396133425,0.0
186,0,-2.47761833190918,0.0
187,0,-2.405274930000305,0.0
188,0,-3.3040043544769286,0.0
189,0,-2.0826205015182495,4.200000077486038
190,0,-2.817685465812683,0.0
191,0,-2.6378202342987063,6.900000102818011
192,0,-2.3160922431945803,0.0
193,0,-3.417843585014343,0.0
194,0,-1.9576078701019286,72.80000028014183
195,0,-2.286834225654602,0.0
196,0,-2.805383548736572,0.0
197,0,-3.1676770353317263,0.0
198,0,-2.7959811639785768,0.0
199,0,-2.4312350034713743,0.0
200,0,-3.1894428062438966,0.0
201,0,-2.2896401357650755,0.0
202,0,-2.3124888277053834,0.0
203,0,-2.1646476078033445,0.0
204,0,-2.4460237503051756,0.0
205,0,-1.8208107566833496,83.90000101923943
206,0,-2.113487038612366,81.10000199079514
207,0,-1.8714770913124084,52.50000056624412
208,0,-2.7758936309814453,0.0
209,0,-2.8801416015625,0.0
210,0,-2.2919155168533325,0.0
211,0,-1.5968284940719604,100.0
212,0,-3.2966779375076296,0.0
213,0,-2.3790777683258058,4.500000074505806
214,0,-3.6680925846099854,0.0
215,0,-2.4220811176300048,0.0
216,0,-2.27968150138855,0.0
217,0,-2.4755399560928346,0.0
218,0,-3.0438477277755736,0.0
219,0,-2.513760986328125,0.0
220,0,-1.9942178225517273,47.10000090301037
221,0,-2.7935508584976194,0.0
222,0,-2.0965720415115356,61.20000122487546
223,0,-2.382917437553406,0.0
224,0,-2.140220890045166,3.4000000730156894
225,0,-1.825410964488983,87.30000269412994
226,0,-1.7543106842041016,31.900000408291817
