Epoch,Clean Loss,Clean ACC,Targeted Loss,Targeted ASR
0,2.256,15.545,0.018,99.77
1,2.187,15.735,0.021,99.73
2,2.046,22.055,0.025,99.75
3,1.959,23.928,0.036,99.619
4,1.879,27.835,0.059,99.369
5,1.814,29.738,0.049,99.339
6,1.762,32.141,0.053,99.459
7,1.722,35.978,0.06,99.229
8,1.649,38.071,0.059,99.179
9,1.585,40.855,0.07,98.648
10,1.539,42.638,0.092,97.716
11,1.489,44.852,0.082,97.756
12,1.454,46.434,0.119,96.965
13,1.413,47.847,0.127,96.344
14,1.37,49.229,0.172,94.782
15,1.334,50.781,0.173,94.772
16,1.299,52.143,0.17,94.892
17,1.273,53.335,0.25,92.438
18,1.25,54.307,0.198,94.091
19,1.22,55.619,0.32,90.204
20,1.195,56.33,0.128,96.114
21,1.176,57.212,0.194,94.081
22,1.153,58.193,0.179,94.501
23,1.141,59.175,0.195,94.101
24,1.119,59.856,0.161,95.042
25,1.102,60.407,0.187,94.111
26,1.085,61.118,0.123,96.204
27,1.065,61.809,0.137,95.783
28,1.052,61.939,0.108,96.655
29,1.04,62.75,0.091,97.065
30,1.024,63.131,0.087,97.216
31,1.022,63.321,0.073,97.817
32,1.01,63.852,0.073,97.686
33,0.993,64.223,0.093,96.975
34,0.981,64.844,0.088,97.226
35,0.977,64.904,0.069,97.827
36,0.962,65.775,0.097,96.815
37,0.954,66.166,0.068,97.867
38,0.955,66.256,0.051,98.397
39,0.948,66.236,0.057,98.237
40,0.932,66.877,0.061,98.027
41,0.925,67.268,0.059,98.087
42,0.921,67.198,0.071,97.746
43,0.907,67.869,0.056,98.177
44,0.905,67.989,0.047,98.468
45,0.896,68.299,0.062,97.937
46,0.889,68.62,0.067,97.907
47,0.89,68.5,0.075,97.466
48,0.882,68.89,0.052,98.367
49,0.878,69.04,0.093,96.965
50,0.871,69.471,0.062,98.057
51,0.87,69.481,0.048,98.488
52,0.869,69.421,0.062,98.127
53,0.855,69.982,0.073,97.756
54,0.85,69.932,0.074,97.536
55,0.846,70.633,0.061,98.107
56,0.847,70.503,0.06,98.187
57,0.839,70.623,0.073,97.596
58,0.835,70.713,0.058,98.167
59,0.831,70.964,0.065,97.837
60,0.835,71.004,0.05,98.427
61,0.825,71.234,0.07,97.676
62,0.819,71.234,0.06,98.057
63,0.817,71.675,0.073,97.556
64,0.814,71.975,0.094,96.915
65,0.823,71.334,0.102,96.685
66,0.813,71.905,0.132,95.703
67,0.806,72.125,0.114,96.304
68,0.809,72.025,0.051,98.397
69,0.808,71.905,0.079,97.376
70,0.804,72.196,0.107,96.494
71,0.8,72.416,0.074,97.606
72,0.793,72.516,0.081,97.366
73,0.799,72.606,0.068,97.716
74,0.791,72.636,0.094,96.955
75,0.792,72.746,0.102,96.755
76,0.786,72.867,0.118,96.074
77,0.793,72.536,0.078,97.346
78,0.792,72.997,0.106,96.565
79,0.783,73.047,0.105,96.565
80,0.789,72.626,0.115,96.224
81,0.782,73.357,0.114,96.314
82,0.781,73.037,0.123,96.034
83,0.783,72.937,0.143,95.202
84,0.78,73.047,0.122,96.174
85,0.784,73.107,0.152,94.962
86,0.776,73.608,0.149,95.032
87,0.78,73.618,0.145,95.323
88,0.781,73.458,0.208,93.259
89,0.776,73.197,0.162,94.641
90,0.777,73.658,0.175,94.301
91,0.772,73.518,0.212,93.059
92,0.787,73.427,0.147,95.242
93,0.78,73.768,0.158,94.842
94,0.788,73.377,0.144,95.272
95,0.776,73.688,0.109,96.615
96,0.777,73.968,0.218,93.029
97,0.775,73.828,0.181,94.361
98,0.771,74.018,0.159,94.852
99,0.775,74.309,0.216,93.209
