Total Loop,FTS Loop,Restrict Poisoned Train Loss,Restrict Poisoned Train Acc
1,0,-3.471,8.0
2,0,-4.4,4.9
3,0,-3.286,3.4
4,0,-4.199,1.1
5,0,-3.129,6.0
6,0,-2.295,43.9
7,0,-3.113,16.0
8,0,-5.49,0.9
9,0,-3.366,4.6
10,0,-3.678,2.0
11,0,-3.404,8.9
12,0,-3.39,3.6
13,0,-2.734,8.1
14,0,-2.371,18.5
15,0,-3.502,5.6
16,0,-4.527,0.2
17,0,-2.939,8.1
18,0,-3.633,0.5
19,0,-4.176,2.6
20,0,-3.119,6.2
21,0,-1.658,21.2
22,0,-4.512,2.1
23,0,-2.702,14.5
24,0,-3.231,1.9
25,0,-2.442,13.1
26,0,-2.917,2.7
27,0,-2.989,7.6
28,0,-1.713,44.9
29,0,-3.676,0.0
30,0,-3.382,0.6
31,0,-2.562,1.8
32,0,-3.472,0.3
33,0,-2.162,3.5
34,0,-1.781,38.3
35,0,-2.631,1.2
36,0,-1.264,49.6
37,0,-3.386,3.0
38,0,-2.297,1.8
39,0,-2.083,3.0
40,0,-1.584,20.3
41,0,-4.854,0.3
42,0,-2.252,1.7
43,0,-2.544,1.2
44,0,-4.393,1.4
45,0,-1.353,29.7
46,0,-3.481,0.0
47,0,-4.285,1.0
48,0,-1.418,85.7
49,0,-1.308,88.2
50,0,-1.447,84.2
51,0,-2.324,1.8
52,0,-2.326,0.4
53,0,-3.454,1.5
54,0,-4.035,2.2
55,0,-2.754,1.3
56,0,-3.154,0.1
57,0,-1.543,73.5
58,0,-2.95,0.8
59,0,-3.033,0.0
60,0,-3.278,0.0
61,0,-4.46,2.8
62,0,-1.591,86.4
63,0,-3.207,0.0
64,0,-3.946,0.8
65,0,-3.05,0.1
66,0,-1.673,74.5
67,0,-2.208,0.1
68,0,-3.603,3.4
69,0,-4.961,3.7
70,0,-3.016,0.3
71,0,-1.926,3.2
72,0,-3.436,0.1
73,0,-2.958,0.2
74,0,-3.604,1.4
75,0,-3.317,0.3
76,0,-3.338,0.0
77,0,-2.887,1.1
78,0,-2.645,0.0
79,0,-2.584,0.1
80,0,-3.095,0.6
81,0,-3.255,0.9
82,0,-2.916,1.2
83,0,-3.065,0.4
84,0,-2.297,1.1
85,0,-4.071,0.4
86,0,-3.783,0.3
87,0,-2.266,0.3
88,0,-2.072,0.7
89,0,-3.171,0.4
90,0,-1.864,0.7
91,0,-3.888,1.2
92,0,-2.64,0.3
93,0,-4.691,3.5
94,0,-3.511,4.5
95,0,-2.949,0.2
96,0,-2.493,0.6
97,0,-3.396,0.1
98,0,-2.9,0.3
99,0,-3.184,0.3
100,0,-4.946,4.8
101,0,-2.247,0.2
102,0,-4.428,0.3
103,0,-1.62,24.2
104,0,-2.586,0.2
105,0,-2.875,0.1
106,0,-4.309,4.8
107,0,-1.652,4.9
108,0,-3.749,0.2
109,0,-4.442,4.8
110,0,-4.039,0.0
111,0,-1.144,92.7
112,0,-2.779,0.0
113,0,-2.296,0.1
114,0,-1.967,0.4
115,0,-2.288,0.1
116,0,-2.026,0.9
117,0,-2.94,0.1
118,0,-3.012,0.0
119,0,-1.751,1.3
120,0,-2.749,0.0
121,0,-2.832,0.3
122,0,-4.661,5.1
123,0,-3.714,5.0
124,0,-2.52,0.1
125,0,-2.894,0.0
126,0,-4.415,3.0
127,0,-2.61,0.0
128,0,-2.372,0.0
129,0,-2.925,0.1
130,0,-1.066,93.8
131,0,-4.482,4.5
132,0,-3.896,3.6
133,0,-1.281,91.8
134,0,-3.524,5.1
135,0,-3.689,0.1
136,0,-1.862,1.4
137,0,-2.722,0.1
138,0,-3.769,5.1
139,0,-1.727,0.2
140,0,-2.212,0.0
141,0,-0.884,94.1
142,0,-1.957,0.6
143,0,-2.443,0.1
144,0,-1.137,93.4
145,0,-3.181,0.2
146,0,-0.808,93.8
147,0,-3.491,0.2
148,0,-2.645,0.6
149,0,-3.003,0.0
150,0,-2.085,1.7
151,0,-2.956,0.0
152,0,-2.618,0.0
153,0,-1.307,92.9
154,0,-2.296,0.0
155,0,-2.354,0.1
156,0,-2.678,0.0
157,0,-3.339,0.1
158,0,-2.436,0.0
159,0,-3.008,0.2
160,0,-2.526,0.0
161,0,-3.29,4.5
162,0,-2.567,0.2
163,0,-3.934,0.0
164,0,-3.767,0.1
165,0,-2.469,0.0
166,0,-2.958,0.0
167,0,-2.529,0.1
168,0,-1.629,3.0
169,0,-2.97,0.4
170,0,-1.936,1.5
171,0,-2.723,0.0
172,0,-2.689,0.0
173,0,-3.588,0.1
174,0,-2.617,0.0
175,0,-3.008,0.5
176,0,-2.505,0.1
177,0,-2.964,0.0
178,0,-2.184,0.6
179,0,-2.257,0.0
180,0,-3.125,0.3
181,0,-2.443,0.1
182,0,-1.359,92.7
183,0,-1.658,93.0
184,0,-2.182,0.2
185,0,-2.832,0.1
186,0,-2.312,0.4
187,0,-3.012,0.2
188,0,-4.04,5.1
189,0,-1.712,12.0
190,0,-3.013,0.0
191,0,-2.493,0.3
192,0,-2.528,0.2
193,0,-4.417,2.9
194,0,-1.658,92.1
195,0,-2.331,0.1
196,0,-3.522,0.0
197,0,-3.651,3.2
198,0,-3.417,0.3
199,0,-2.573,0.1
200,0,-3.82,0.8
201,0,-2.066,0.1
202,0,-2.305,0.6
203,0,-2.309,0.0
204,0,-2.266,0.4
205,0,-1.634,90.7
206,0,-2.231,0.2
207,0,-1.762,0.6
208,0,-3.482,0.2
209,0,-3.307,0.1
210,0,-2.322,0.2
211,0,-1.057,94.3
212,0,-4.471,3.4
213,0,-2.289,0.0
214,0,-4.411,1.2
215,0,-2.53,0.0
216,0,-1.925,0.1
217,0,-2.577,0.1
218,0,-3.653,0.0
219,0,-2.544,0.0
220,0,-1.74,5.1
221,0,-3.191,0.1
222,0,-1.875,0.5
223,0,-2.173,0.4
224,0,-2.247,0.1
225,0,-1.852,0.6
226,0,-0.916,94.4
227,0,-3.637,4.7
228,0,-1.717,90.4
229,0,-2.579,0.4
230,0,-2.971,0.0
231,0,-1.381,94.2
232,0,-2.756,0.1
233,0,-2.604,0.2
234,0,-2.092,0.4
235,0,-3.786,0.5
236,0,-3.145,0.2
237,0,-2.781,0.0
238,0,-2.647,0.1
239,0,-0.798,94.7
