Epoch,Clean Loss,Clean ACC,Targeted Loss,Targeted ASR
0,2.332,10.377,2.05,75.731
1,2.307,10.076,2.257,10.286
2,2.304,10.927,2.233,13.211
3,2.298,13.111,2.23,15.355
4,2.237,17.067,2.077,45.383
5,2.133,18.7,1.963,52.103
6,2.064,20.423,2.27,40.735
7,2.012,24.279,2.44,31.921
8,1.955,26.382,2.492,30.018
9,1.898,29.016,2.434,27.975
10,1.831,32.422,2.212,32.562
11,1.749,35.457,2.117,30.148
12,1.685,38.111,1.821,38.532
13,1.618,40.355,1.68,42.778
14,1.558,42.488,1.824,34.956
15,1.516,44.291,1.852,33.884
16,1.476,46.064,1.954,28.105
17,1.424,47.606,1.973,26.452
18,1.383,49.028,1.836,32.272
19,1.355,50.3,2.065,25.561
20,1.311,51.583,2.003,30.429
21,1.289,52.784,2.328,23.618
22,1.269,53.876,2.128,30.399
23,1.236,55.008,1.956,29.657
24,1.226,55.98,2.066,33.303
25,1.197,56.56,2.101,27.284
26,1.209,56.781,2.222,23.317
27,1.159,58.123,2.326,21.514
28,1.148,58.524,2.472,19.331
29,1.13,59.205,2.402,20.423
30,1.113,59.876,2.593,17.117
31,1.119,60.106,2.323,21.725
32,1.083,61.128,2.182,24.619
33,1.098,61.128,2.399,19.191
34,1.065,62.6,2.415,20.703
35,1.067,62.72,2.345,22.516
36,1.038,63.442,2.443,21.695
37,1.021,63.922,2.636,17.198
38,1.018,64.283,2.696,16.757
39,1.032,64.493,2.417,23.197
40,1.002,65.204,2.592,18.369
41,1.035,65.284,2.149,29.808
42,1.023,65.535,2.045,30.429
43,0.981,65.705,2.306,24.089
44,0.963,66.496,2.233,25.431
45,0.942,66.807,2.412,22.015
46,0.943,66.887,2.779,18.259
47,0.948,67.027,2.527,20.182
48,0.926,67.468,2.513,20.282
49,0.931,67.648,2.655,19.892
50,0.936,68.039,2.712,17.959
51,0.944,67.909,2.393,22.476
52,0.906,68.51,2.684,18.53
53,0.895,68.65,2.736,17.728
54,0.912,68.45,2.655,21.214
55,0.891,69.06,2.748,17.338
56,0.915,68.86,2.236,26.432
57,0.889,69.391,2.985,20.573
58,0.869,69.712,2.981,15.675
59,0.875,69.391,2.618,21.875
60,0.876,69.832,2.58,21.565
61,0.933,69.621,2.733,24.369
62,0.884,70.032,2.437,24.119
63,0.883,70.122,2.541,22.075
64,0.862,70.272,2.677,20.122
65,0.845,70.683,2.555,23.347
66,0.967,70.312,3.224,24.269
67,0.894,70.323,2.689,23.407
68,0.853,70.813,2.615,21.554
69,0.848,70.813,2.882,18.65
70,0.965,70.703,2.588,23.127
71,0.836,71.294,2.465,26.052
72,0.892,71.334,2.537,25.02
73,0.836,71.785,2.688,22.125
74,0.821,71.795,2.867,18.7
75,0.823,71.755,2.523,23.698
76,0.807,72.175,2.41,24.629
77,0.838,72.065,2.346,25.831
78,0.839,72.246,2.914,19.091
79,0.946,71.575,2.637,22.817
80,0.848,72.145,2.578,25.02
81,0.795,72.766,2.839,20.363
82,0.801,72.736,2.461,24.459
83,0.851,72.546,2.431,25.781
84,0.816,72.877,2.673,22.546
85,0.899,72.636,2.712,24.109
86,0.84,72.756,2.184,34.545
87,0.823,73.197,2.517,23.808
88,0.808,72.987,2.645,25.06
89,0.79,73.287,2.687,23.748
90,0.833,73.087,2.397,28.486
91,0.819,73.197,2.845,22.536
92,0.819,73.157,2.488,27.364
93,0.807,73.207,2.989,18.88
94,0.832,73.377,2.604,27.394
95,0.853,73.548,3.11,25.952
96,0.777,73.558,2.818,22.686
97,0.797,73.458,2.77,23.137
98,0.833,73.107,3.06,25.25
99,0.796,73.638,2.783,22.426
