Epoch,Clean Loss,Clean ACC,Targeted Loss,Targeted ASR
0,2.323,13.882,0.004,99.99
1,2.266,16.426,0.011,99.95
2,2.193,19.421,0.013,99.93
3,2.104,21.855,0.031,99.038
4,2.011,25.791,0.098,98.377
5,1.933,27.724,0.126,98.137
6,1.854,32.051,0.16,97.887
7,1.762,35.076,0.155,97.806
8,1.69,38.482,0.146,97.666
9,1.629,40.635,0.17,97.326
10,1.582,41.827,0.138,97.085
11,1.528,44.331,0.148,96.865
12,1.488,46.114,0.136,96.915
13,1.445,47.115,0.116,97.436
14,1.411,48.888,0.094,97.917
15,1.374,50.391,0.14,96.715
16,1.347,51.693,0.11,97.196
17,1.309,52.574,0.175,95.403
18,1.28,53.606,0.107,97.155
19,1.256,54.247,0.164,95.353
20,1.23,55.489,0.096,97.316
21,1.206,56.2,0.108,96.775
22,1.186,57.101,0.139,95.573
23,1.17,57.121,0.153,95.483
24,1.144,58.323,0.195,94.151
25,1.13,59.105,0.171,94.932
26,1.11,59.826,0.178,94.431
27,1.092,60.767,0.359,88.692
28,1.083,61.198,0.199,93.389
29,1.061,61.729,0.404,86.849
30,1.054,62.119,0.332,89.373
31,1.039,63.021,0.349,88.211
32,1.031,63.101,0.297,89.904
33,1.019,63.532,0.327,89.012
34,1.011,63.992,0.215,92.959
35,1.006,64.323,0.27,90.815
36,1.003,64.403,0.375,86.949
37,0.982,65.335,0.403,86.068
38,0.967,65.615,0.353,88.662
39,0.96,65.986,0.562,80.96
40,0.957,66.146,0.5,83.073
41,0.946,66.607,0.416,85.837
42,0.948,66.526,0.573,80.288
43,0.93,67.198,0.507,81.881
44,0.927,67.388,0.495,84.075
45,0.913,67.598,0.447,84.966
46,0.914,67.869,0.808,73.808
47,0.904,68.129,0.57,81.15
48,0.896,68.68,0.646,78.896
49,0.894,68.91,0.573,80.699
50,0.882,69.151,0.751,74.329
51,0.879,69.481,0.81,73.277
52,0.861,69.671,1.513,53.616
53,0.863,69.922,1.222,62.079
54,0.87,69.571,0.959,71.064
55,0.858,70.112,1.002,68.79
56,0.852,70.222,1.111,65.164
57,0.846,70.383,1.275,61.869
58,0.84,70.573,1.691,51.222
59,0.831,70.923,1.543,53.946
60,0.838,70.633,1.457,54.467
61,0.848,70.553,1.695,52.033
62,0.827,71.284,1.255,61.078
63,0.819,71.625,1.586,53.305
64,0.821,71.775,1.572,53.125
65,0.822,71.434,1.618,51.963
66,0.815,72.055,2.276,40.274
67,0.805,72.135,2.42,38.201
68,0.83,71.645,2.393,39.683
69,0.801,72.376,1.941,47.165
70,0.809,72.085,2.375,38.351
71,0.809,72.226,2.341,40.595
72,0.791,72.666,2.132,43.68
73,0.799,72.766,2.275,42.648
74,0.796,72.606,2.414,39.323
75,0.794,72.867,3.014,32.652
76,0.794,72.746,2.648,36.979
77,0.786,73.017,3.039,30.489
78,0.793,73.067,2.445,37.69
79,0.78,73.147,2.593,37.019
80,0.776,73.377,3.571,24.229
81,0.789,73.257,2.787,32.812
82,0.773,73.407,3.427,26.753
83,0.78,73.227,3.136,30.399
84,0.777,73.397,3.101,31.05
85,0.787,73.367,3.582,24.609
86,0.79,73.157,2.745,36.268
87,0.772,73.658,3.573,25.801
88,0.77,73.738,3.539,27.594
89,0.779,73.718,3.198,32.863
90,0.788,73.387,3.025,33.494
91,0.777,73.618,3.781,26.132
92,0.764,73.878,3.637,25.01
93,0.76,73.988,3.415,28.015
94,0.775,73.828,3.691,25.972
95,0.772,73.798,3.618,27.985
96,0.766,74.179,4.28,21.054
97,0.779,73.908,3.619,26.593
98,0.768,73.948,4.246,21.254
99,0.775,74.209,3.718,24.89
