Total Loop,Finetune Restrict Clean Test Acc,Finetune Restrict Poisoned Test Loss,Finetune Restrict Poisoned Test ASR
9,44.04,1.366,55.596
19,40.758,1.406,39.394
29,38.162,0.909,73.657
39,36.455,0.262,97.374
49,36.212,0.122,98.788
59,34.212,0.117,99.202
69,35.162,0.121,99.525
79,35.475,0.07,99.747
89,35.222,0.06,99.758
99,34.929,0.064,99.747
109,32.747,0.205,98.212
119,33.051,0.185,98.303
129,32.455,0.181,98.273
139,31.343,0.157,98.313
149,30.606,0.104,98.707
159,29.687,0.088,98.848
169,31.939,0.104,98.677
179,33.788,0.193,97.939
189,32.444,0.127,98.808
199,33.737,0.186,97.899
209,34.364,0.22,97.818
219,32.636,0.207,97.869
229,33.949,0.135,98.758
239,33.475,0.092,99.202
249,32.646,0.13,98.485
259,36.596,0.226,95.273
269,35.606,0.24,95.485
279,32.475,0.318,94.465
289,32.576,0.205,96.535
299,34.697,0.104,97.96
final,34.051,0.208,95.192
