Dataset,Before/After,Clean Acc,Untargeted ASR,Targeted ASR
ImageNette,before,91.16290983606558,89.98463114754098,99.87192622950819
CIFAR10,before,12.720352564102564,90.00400641025641,99.97996794871794
CIFAR10,after,74.209,,24.89
