Total Loop,NTR loop,Orig Poisoned Train Loss,Orig Clean Test Acc,Orig ASR
1,0,0.0395,89.197,100.0
2,0,0.036,88.586,99.975
3,0,0.1078,87.924,99.924
4,0,0.0886,87.847,99.924
5,0,0.0009,88.025,99.924
6,0,0.0143,87.873,99.873
7,0,0.0243,88.051,99.898
8,0,0.0447,87.924,99.949
9,0,0.0247,87.949,99.924
10,0,0.0198,88.025,99.924
11,0,0.0816,88.535,99.924
12,0,0.0701,89.146,99.924
13,0,0.0341,89.452,99.924
14,0,0.0441,89.631,99.924
15,0,0.0065,89.554,99.924
16,0,0.0749,89.529,99.924
17,0,0.0019,89.427,99.924
18,0,0.0353,89.452,99.949
19,0,0.042,89.987,99.949
20,0,0.0097,89.885,99.949
21,0,0.0023,89.885,99.975
22,0,0.0497,89.783,99.975
23,0,0.0093,89.783,99.975
24,0,0.0083,89.707,99.975
25,0,0.0178,89.885,99.975
26,0,0.0677,89.783,99.975
27,0,0.0043,89.682,99.975
28,0,0.0152,89.809,99.975
29,0,0.021,89.682,99.975
30,0,0.0659,89.86,100.0
31,0,0.0056,89.732,100.0
32,0,0.09,89.834,100.0
33,0,0.042,89.605,100.0
34,0,0.0075,89.783,100.0
35,0,0.0126,89.885,100.0
36,0,0.0328,89.911,100.0
37,0,0.0577,89.936,100.0
38,0,0.005,89.783,100.0
39,0,0.0917,89.732,100.0
40,0,0.0147,89.783,100.0
41,0,0.0083,89.605,100.0
42,0,0.0593,89.707,100.0
43,0,0.0304,89.58,100.0
44,0,0.1541,89.656,100.0
45,0,0.0334,89.478,100.0
46,0,0.0108,89.554,100.0
47,0,0.0177,89.605,100.0
48,0,0.0666,89.503,100.0
49,0,0.0676,89.656,100.0
50,0,0.0117,89.885,100.0
51,0,0.0515,90.166,100.0
52,0,0.0237,90.242,100.0
53,0,0.0609,90.242,100.0
54,0,0.0286,90.242,100.0
55,0,0.0288,90.369,100.0
56,0,0.0645,90.166,100.0
57,0,0.0542,90.038,100.0
58,0,0.0858,89.936,100.0
59,0,0.0615,89.86,100.0
60,0,0.0621,89.834,100.0
61,0,0.0048,89.732,100.0
62,0,0.1345,89.885,100.0
63,0,0.0728,89.885,100.0
64,0,0.0008,90.115,100.0
65,0,0.009,90.14,100.0
66,0,0.012,90.293,100.0
67,0,0.0131,90.522,100.0
68,0,0.0121,90.446,100.0
69,0,0.007,90.471,100.0
70,0,0.02,90.369,100.0
71,0,0.0165,90.42,100.0
72,0,0.0041,90.293,100.0
73,0,0.0101,90.013,100.0
74,0,0.0089,90.064,100.0
75,0,0.0111,90.14,100.0
76,0,0.0071,90.242,100.0
77,0,0.0173,90.268,100.0
78,0,0.0041,90.548,100.0
79,0,0.0046,90.803,100.0
80,0,0.0083,90.955,100.0
81,0,0.003,90.93,100.0
82,0,0.0061,90.879,100.0
83,0,0.0093,90.955,100.0
84,0,0.0061,90.803,100.0
85,0,0.0081,90.803,100.0
86,0,0.0265,90.573,100.0
87,0,0.0066,90.599,100.0
88,0,0.015,90.624,100.0
89,0,0.0143,90.726,100.0
90,0,0.0069,90.93,100.0
91,0,0.0075,90.879,100.0
92,0,0.0028,90.777,100.0
93,0,0.006,90.828,100.0
94,0,0.0079,90.879,100.0
95,0,0.0043,90.904,100.0
96,0,0.0052,90.854,100.0
97,0,0.0025,91.006,100.0
98,0,0.0045,91.006,100.0
99,0,0.0132,91.083,100.0
100,0,0.0022,91.108,100.0
101,0,0.0023,91.185,100.0
102,0,0.004,91.21,100.0
103,0,0.0037,91.338,100.0
104,0,0.0031,91.389,100.0
105,0,0.0034,91.338,100.0
106,0,0.0036,91.261,100.0
107,0,0.002,91.363,100.0
108,0,0.0067,91.414,100.0
109,0,0.0022,91.516,100.0
110,0,0.014,91.618,100.0
111,0,0.0018,91.541,99.975
112,0,0.0082,91.312,99.975
113,0,0.0077,91.414,99.975
114,0,0.0027,91.49,99.975
115,0,0.0047,91.363,99.975
116,0,0.0056,91.312,99.975
117,0,0.0048,91.338,99.975
118,0,0.002,91.312,99.975
119,0,0.0073,91.287,99.975
120,0,0.0036,91.363,99.975
121,0,0.0025,91.338,99.975
122,0,0.0096,91.338,99.975
123,0,0.0067,91.363,99.975
124,0,0.0053,91.287,99.975
125,0,0.0092,91.389,99.975
126,0,0.0029,91.389,99.975
127,0,0.0099,91.567,99.975
128,0,0.0019,91.541,99.975
129,0,0.0015,91.643,99.975
130,0,0.0039,91.847,99.975
131,0,0.002,91.669,99.975
132,0,0.0039,91.669,99.975
133,0,0.0041,91.592,99.975
134,0,0.0051,91.567,99.975
135,0,0.003,91.618,99.975
136,0,0.0028,91.541,99.975
137,0,0.0054,91.414,99.975
138,0,0.0043,91.465,99.975
139,0,0.003,91.414,99.975
140,0,0.0038,91.465,99.975
141,0,0.0059,91.465,99.975
142,0,0.0067,91.389,99.975
143,0,0.0025,91.465,99.975
144,0,0.0017,91.338,99.975
145,0,0.0102,91.287,99.975
146,0,0.0018,91.414,99.975
147,0,0.0032,91.516,99.975
148,0,0.0017,91.516,99.975
149,0,0.0039,91.465,99.975
150,0,0.0019,91.516,99.975
151,0,0.0018,91.541,99.975
152,0,0.0021,91.618,99.975
153,0,0.0033,91.567,99.975
154,0,0.0029,91.592,99.975
155,0,0.0018,91.694,99.975
156,0,0.0012,91.72,99.975
157,0,0.0016,91.618,99.975
158,0,0.006,91.592,99.949
159,0,0.0036,91.694,99.975
160,0,0.0031,91.72,99.949
161,0,0.0033,91.771,99.975
162,0,0.0022,91.847,99.975
163,0,0.0024,91.745,99.975
164,0,0.0042,91.618,99.949
165,0,0.0016,91.72,99.924
166,0,0.0017,91.822,99.924
167,0,0.0021,91.873,99.949
168,0,0.0038,91.924,99.924
169,0,0.0014,91.822,99.949
170,0,0.0047,91.796,99.949
171,0,0.0031,91.898,99.924
172,0,0.0029,91.873,99.949
173,0,0.0061,91.975,99.949
174,0,0.0018,91.949,99.975
175,0,0.0048,91.924,99.975
176,0,0.0032,91.873,99.975
177,0,0.003,91.72,99.975
178,0,0.0024,91.745,99.975
179,0,0.0027,91.796,99.975
180,0,0.0032,91.72,99.975
181,0,0.0045,91.771,99.975
182,0,0.0035,91.745,99.975
183,0,0.0027,91.771,99.975
184,0,0.0039,91.745,99.975
185,0,0.0053,91.822,99.975
186,0,0.0029,91.847,99.975
187,0,0.0024,91.822,99.975
188,0,0.0022,91.796,99.975
189,0,0.003,91.847,99.975
190,0,0.0033,91.771,99.975
191,0,0.0024,91.72,100.0
192,0,0.0656,91.49,100.0
193,0,0.0029,91.338,100.0
194,0,0.0033,91.185,100.0
195,0,0.0019,91.057,100.0
196,0,0.0033,90.93,100.0
197,0,0.0029,90.65,100.0
198,0,0.0036,90.318,100.0
199,0,0.0087,90.064,100.0
200,0,0.0039,90.064,100.0
201,0,0.0049,90.191,100.0
202,0,0.004,90.064,100.0
203,0,0.0094,90.191,100.0
204,0,0.026,90.115,100.0
205,0,0.0083,90.14,99.975
206,0,0.0034,90.064,99.949
207,0,0.0029,90.089,99.949
208,0,0.0076,90.166,99.949
209,0,0.0049,90.14,99.949
210,0,0.0105,90.14,99.949
211,0,0.0085,90.293,99.975
212,0,0.0076,90.369,99.975
213,0,0.0261,90.624,100.0
214,0,0.0113,90.675,100.0
215,0,0.0048,90.726,100.0
216,0,0.008,90.828,100.0
217,0,0.0043,90.777,100.0
218,0,0.0041,90.777,100.0
219,0,0.0035,90.701,100.0
220,0,0.0131,90.726,100.0
221,0,0.0087,90.752,100.0
222,0,0.0055,90.624,100.0
223,0,0.0046,90.65,100.0
224,0,0.0013,90.573,100.0
225,0,0.0073,90.599,100.0
226,0,0.0054,90.599,100.0
227,0,0.0317,90.599,100.0
228,0,0.0095,90.803,100.0
229,0,0.005,90.93,100.0
230,0,0.0062,91.083,100.0
231,0,0.0064,91.083,100.0
232,0,0.0062,91.21,100.0
233,0,0.005,91.287,99.949
234,0,0.0029,91.261,99.924
235,0,0.002,91.363,99.898
236,0,0.0119,91.261,99.873
237,0,0.0058,91.261,99.873
238,0,0.0077,91.21,99.873
239,0,0.0025,91.159,99.873
240,0,0.002,91.108,99.873
241,0,0.0015,91.159,99.873
242,0,0.005,91.134,99.898
243,0,0.0035,91.185,99.898
244,0,0.0028,91.312,99.898
245,0,0.0049,91.261,99.873
246,0,0.0057,91.312,99.873
247,0,0.0042,91.287,99.873
248,0,0.0065,91.414,99.873
249,0,0.0034,91.516,99.873
250,0,0.0021,91.567,99.898
251,0,0.0029,91.49,99.898
252,0,0.0081,91.439,99.924
253,0,0.0057,91.338,99.924
254,0,0.0039,91.363,99.924
255,0,0.002,91.363,99.924
256,0,0.4383,90.879,99.898
257,0,0.0033,90.038,99.924
258,0,0.0034,88.968,99.949
259,0,0.0035,87.924,99.949
260,0,0.0148,86.471,99.949
261,0,0.108,85.325,99.898
262,0,0.0591,83.949,99.898
263,0,0.0826,83.159,99.898
264,0,0.0066,82.115,99.898
265,0,0.0276,81.758,99.873
266,0,0.0825,80.662,99.873
267,0,0.0798,81.529,99.847
268,0,0.0623,82.522,99.847
269,0,0.0104,83.363,99.822
270,0,0.0057,84.255,99.822
271,0,0.0502,86.064,99.822
272,0,0.0302,87.72,99.796
273,0,0.0161,88.51,99.771
274,0,0.0386,89.35,99.745
275,0,0.0108,89.223,99.72
276,0,0.0137,89.146,99.694
277,0,0.0143,89.096,99.643
278,0,0.0442,89.325,99.541
279,0,0.0475,89.503,99.439
280,0,0.0155,89.376,99.363
281,0,0.0068,89.503,99.287
282,0,0.0234,89.605,99.287
283,0,0.0228,89.529,99.363
284,0,0.0081,89.656,99.516
285,0,0.0131,89.605,99.592
286,0,0.023,89.452,99.592
287,0,0.0132,89.605,99.669
288,0,0.0135,89.554,99.694
289,0,0.0119,89.783,99.72
290,0,0.0092,90.166,99.771
291,0,0.0061,90.14,99.796
292,0,0.0329,90.166,99.873
293,0,0.005,90.166,99.873
294,0,0.0116,90.395,99.873
295,0,0.0051,90.624,99.898
296,0,0.0061,90.828,99.898
297,0,0.012,90.828,99.898
298,0,0.0185,90.854,99.924
299,0,0.0036,90.904,99.924
300,0,0.0111,90.752,99.924
