Total Loop,FTS Loop,Restrict Poisoned Train Loss,Restrict Poisoned Train Acc
1,0,-3.471,8.0
2,0,-4.4,4.9
3,0,-3.286,3.4
4,0,-4.199,1.1
5,0,-3.129,6.0
6,0,-2.295,43.9
7,0,-3.113,16.0
8,0,-5.49,0.9
9,0,-3.366,4.6
10,0,-3.659,2.0
11,0,-3.411,8.9
12,0,-3.399,3.6
13,0,-2.735,8.0
14,0,-2.388,18.4
15,0,-3.523,4.2
16,0,-4.57,0.0
17,0,-2.949,6.8
18,0,-3.578,1.6
19,0,-4.171,2.8
20,0,-3.156,5.9
21,0,-1.66,21.6
22,0,-4.579,2.0
23,0,-2.676,22.0
24,0,-3.216,1.3
25,0,-2.362,20.9
26,0,-2.953,2.6
27,0,-3.023,8.2
28,0,-1.726,42.6
29,0,-3.688,0.0
30,0,-3.393,0.5
31,0,-2.553,2.1
32,0,-3.439,0.4
33,0,-2.137,3.9
34,0,-1.819,38.4
35,0,-2.639,2.0
36,0,-1.28,50.0
37,0,-3.346,2.3
38,0,-2.311,1.9
39,0,-2.066,3.6
40,0,-1.577,18.7
41,0,-4.875,0.4
42,0,-2.256,2.9
43,0,-2.545,1.6
44,0,-4.425,1.2
45,0,-1.361,23.3
46,0,-3.447,0.0
47,0,-4.251,0.9
48,0,-1.416,84.9
49,0,-1.296,88.1
50,0,-1.43,84.0
51,0,-2.318,1.4
52,0,-2.305,0.6
53,0,-3.438,1.9
54,0,-4.036,1.5
55,0,-2.76,1.5
56,0,-3.119,0.1
57,0,-1.548,76.3
58,0,-2.961,1.0
59,0,-3.011,0.1
60,0,-3.298,0.2
61,0,-4.535,2.5
62,0,-1.57,85.2
63,0,-3.231,0.0
64,0,-3.893,3.5
65,0,-3.062,0.5
66,0,-1.658,71.7
67,0,-2.2,0.7
68,0,-3.622,2.4
69,0,-4.974,3.4
70,0,-3.025,0.1
71,0,-1.917,5.0
72,0,-3.442,0.2
73,0,-2.94,0.8
74,0,-3.581,3.9
75,0,-3.304,0.5
76,0,-3.336,0.1
77,0,-2.873,1.3
78,0,-2.627,0.0
79,0,-2.575,0.5
80,0,-3.122,0.0
81,0,-3.265,0.8
82,0,-2.896,1.6
83,0,-3.053,0.1
84,0,-2.291,0.8
85,0,-4.068,0.2
86,0,-3.756,0.2
87,0,-2.261,0.4
88,0,-2.063,0.5
89,0,-3.127,0.2
90,0,-1.872,0.4
91,0,-3.921,4.2
92,0,-2.616,0.3
93,0,-4.696,4.3
94,0,-3.45,4.9
95,0,-2.94,0.5
96,0,-2.512,0.6
97,0,-3.352,0.2
98,0,-2.909,0.1
99,0,-3.186,0.3
100,0,-4.98,5.1
101,0,-2.249,0.2
102,0,-4.449,1.6
103,0,-1.599,33.1
104,0,-2.599,0.4
105,0,-2.881,0.1
106,0,-4.326,5.1
107,0,-1.647,4.3
108,0,-3.664,0.5
109,0,-4.439,3.9
110,0,-4.007,0.0
111,0,-1.151,93.6
112,0,-2.811,0.1
113,0,-2.307,0.1
114,0,-1.961,1.1
115,0,-2.297,0.2
116,0,-2.021,0.6
117,0,-2.932,0.0
118,0,-2.992,0.1
119,0,-1.75,1.5
120,0,-2.756,0.0
121,0,-2.818,0.2
122,0,-4.633,4.3
123,0,-3.691,5.1
124,0,-2.47,0.2
125,0,-2.903,0.1
126,0,-4.389,1.3
127,0,-2.593,0.2
128,0,-2.353,0.3
129,0,-2.9,0.9
130,0,-1.055,94.2
131,0,-4.47,4.8
132,0,-3.895,4.5
133,0,-1.28,92.4
134,0,-3.53,4.0
135,0,-3.706,0.3
136,0,-1.865,1.7
137,0,-2.73,0.3
138,0,-3.826,4.0
139,0,-1.733,0.1
140,0,-2.204,0.4
141,0,-0.872,93.6
142,0,-1.979,0.6
143,0,-2.458,0.0
144,0,-1.134,94.4
145,0,-3.194,2.6
146,0,-0.808,94.2
147,0,-3.512,0.1
148,0,-2.625,0.1
149,0,-3.008,0.0
150,0,-2.077,0.8
151,0,-2.955,0.0
152,0,-2.619,0.0
153,0,-1.282,93.0
154,0,-2.314,0.0
155,0,-2.367,0.5
156,0,-2.69,0.0
157,0,-3.322,0.2
158,0,-2.444,0.3
159,0,-2.979,0.1
160,0,-2.525,0.2
161,0,-3.281,0.8
162,0,-2.536,0.1
163,0,-3.938,0.1
164,0,-3.753,0.0
165,0,-2.495,0.2
166,0,-2.959,0.0
167,0,-2.498,0.3
168,0,-1.632,3.0
169,0,-2.953,0.0
170,0,-1.928,1.1
171,0,-2.729,0.2
172,0,-2.709,0.1
173,0,-3.592,0.2
174,0,-2.591,0.0
175,0,-2.999,0.2
176,0,-2.51,0.1
177,0,-2.982,0.2
178,0,-2.191,0.8
179,0,-2.261,0.2
180,0,-3.124,0.1
181,0,-2.424,0.0
182,0,-1.369,94.0
183,0,-1.649,93.0
184,0,-2.185,0.1
185,0,-2.856,0.1
186,0,-2.328,0.4
187,0,-2.975,0.3
188,0,-4.019,0.9
189,0,-1.732,5.9
190,0,-3.007,0.1
191,0,-2.467,0.2
192,0,-2.514,0.1
193,0,-4.401,4.6
194,0,-1.663,94.0
195,0,-2.345,0.4
196,0,-3.535,0.0
197,0,-3.672,3.7
198,0,-3.454,0.5
199,0,-2.576,0.0
200,0,-3.816,0.1
201,0,-2.047,0.2
202,0,-2.309,0.7
203,0,-2.328,0.4
204,0,-2.286,0.6
205,0,-1.626,90.1
206,0,-2.229,0.3
207,0,-1.744,0.9
208,0,-3.447,0.0
209,0,-3.313,0.1
210,0,-2.319,0.6
211,0,-1.052,93.8
212,0,-4.484,0.0
213,0,-2.3,0.3
214,0,-4.418,0.1
215,0,-2.519,0.0
216,0,-1.919,0.1
217,0,-2.578,0.6
218,0,-3.68,0.4
219,0,-2.545,0.1
220,0,-1.736,4.8
221,0,-3.204,0.1
222,0,-1.876,0.5
223,0,-2.162,0.1
224,0,-2.254,0.1
225,0,-1.854,0.7
226,0,-0.899,94.3
227,0,-3.624,4.7
228,0,-1.707,90.2
229,0,-2.576,0.2
230,0,-2.974,0.0
231,0,-1.379,94.0
232,0,-2.759,0.0
233,0,-2.611,0.1
234,0,-2.096,0.2
235,0,-3.819,0.1
236,0,-3.162,0.2
237,0,-2.789,0.0
238,0,-2.673,0.0
239,0,-0.785,94.1
