Total Loop,Finetune Restrict Clean Test Acc,Finetune Restrict Poisoned Test Loss,Finetune Restrict Poisoned Test ASR
1,40.343,1.118,54.818
2,36.162,0.19,97.616
3,35.687,0.06,99.535
4,36.172,0.078,99.404
5,35.677,0.066,99.283
6,38.253,0.106,98.354
7,35.465,0.049,99.051
8,35.545,0.079,99.152
9,32.646,0.057,99.606
10,33.364,0.022,99.808
11,37.646,0.285,94.808
12,38.111,0.628,83.97
